#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1        1.36831        1.36831              0
              2        1.36824        1.36827    2.60493e-05
              3        1.36845        1.36833    5.00447e-05
              4         1.3684        1.36835    3.99878e-05
              5        1.36839        1.36836    3.29017e-05
              6        1.36844        1.36837    3.01438e-05
              7        1.36827        1.36836    2.87402e-05
              8        1.36827        1.36834    2.72093e-05
              9        1.36833        1.36834    2.42303e-05
             10        1.36831        1.36834    2.20457e-05
             11        1.36826        1.36833    2.12932e-05
             12        1.36832        1.36833    1.95395e-05
             13        1.36835        1.36833    1.80871e-05
             14        1.36829        1.36833    1.70226e-05
             15        1.36822        1.36832     1.7365e-05
             16        1.36833        1.36832    1.62872e-05
             17        1.36828        1.36832    1.54929e-05
             18        1.36827        1.36832    1.48677e-05
             19        1.36831        1.36832     1.4087e-05
             20        1.36837        1.36832    1.36072e-05
             21        1.36837        1.36832      1.313e-05
             22        1.36847        1.36833    1.41177e-05
             23         1.3682        1.36832    1.46196e-05
             24        1.36822        1.36832    1.46773e-05
             25        1.36827        1.36832    1.42081e-05
             26        1.36827        1.36832    1.37585e-05
             27        1.36815        1.36831    1.46257e-05
             28        1.36829        1.36831    1.41156e-05
             29        1.36835        1.36831     1.3691e-05
             30        1.36843        1.36831    1.37891e-05
             31        1.36846        1.36832     1.4092e-05
             32        1.36837        1.36832    1.37419e-05
             33        1.36834        1.36832    1.33436e-05
             34        1.36824        1.36832    1.31785e-05
             35        1.36836        1.36832    1.28603e-05
             36         1.3682        1.36832    1.28942e-05
             37        1.36826        1.36831     1.2647e-05
             38        1.36834        1.36832    1.23326e-05
             39        1.36829        1.36831    1.20363e-05
             40        1.36826        1.36831    1.18049e-05
             41        1.36822        1.36831    1.17186e-05
             42        1.36838        1.36831    1.15381e-05
             43         1.3684        1.36831    1.14278e-05
             44        1.36836        1.36832     1.1217e-05
             45        1.36832        1.36832    1.09683e-05
             46        1.36819        1.36831    1.10451e-05
             47        1.36826        1.36831    1.08724e-05
             48        1.36831        1.36831    1.06459e-05
             49        1.36837        1.36831    1.05045e-05
             50        1.36835        1.36831    1.03254e-05
             51        1.36842        1.36832    1.03477e-05
             52        1.36846        1.36832    1.05333e-05
             53        1.36839        1.36832    1.04087e-05
             54        1.36821        1.36832    1.04003e-05
             55        1.36809        1.36831    1.09852e-05
             56        1.36821        1.36831    1.09474e-05
             57        1.36826        1.36831    1.08002e-05
             58        1.36836        1.36831    1.06414e-05
             59         1.3683        1.36831    1.04645e-05
             60        1.36838        1.36831    1.03473e-05
             61        1.36837        1.36831    1.02266e-05
             62        1.36829        1.36831    1.00672e-05
             63        1.36828        1.36831    9.92132e-06
             64        1.36831        1.36831    9.76673e-06
             65        1.36825        1.36831    9.65845e-06
             66        1.36824        1.36831      9.581e-06
             67        1.36839        1.36831    9.51115e-06
             68        1.36836        1.36831    9.39405e-06
             69         1.3684        1.36831    9.35099e-06
             70        1.36835        1.36831    9.22979e-06
             71         1.3684        1.36832    9.16951e-06
             72        1.36833        1.36832    9.04358e-06
             73        1.36837        1.36832    8.94723e-06
             74        1.36838        1.36832    8.86542e-06
             75        1.36829        1.36832    8.75634e-06
             76        1.36846        1.36832     8.8525e-06
             77        1.36846        1.36832     8.9333e-06
             78        1.36843        1.36832    8.92191e-06
             79        1.36842        1.36832    8.88964e-06
             80        1.36812        1.36832    9.14532e-06
             81         1.3682        1.36832     9.1613e-06
             82        1.36849        1.36832    9.28637e-06
             83        1.36842        1.36832    9.24491e-06
             84        1.36832        1.36832    9.13529e-06
             85        1.36819        1.36832    9.16416e-06
             86        1.36826        1.36832    9.08552e-06
             87        1.36828        1.36832    8.99037e-06
             88        1.36819        1.36832    9.00962e-06
             89        1.36829        1.36832    8.91494e-06
             90        1.36833        1.36832    8.81768e-06
             91        1.36827        1.36832    8.73411e-06
             92         1.3684        1.36832     8.6823e-06
             93        1.36828        1.36832    8.60139e-06
             94        1.36836        1.36832    8.52141e-06
             95        1.36821        1.36832    8.50952e-06
             96        1.36818        1.36832    8.53266e-06
             97         1.3682        1.36832    8.52461e-06
             98        1.36836        1.36832    8.44883e-06
             99        1.36822        1.36831    8.41891e-06
            100         1.3682        1.36831    8.41108e-06
