#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1           1.55           1.55              0
              2         1.5494         1.5497    0.000213505
              3        1.54759        1.54899    0.000592312
              4        1.54457        1.54789     0.00105566
              5        1.54035        1.54638     0.00159035
              6        1.53494        1.54447     0.00218766
              7        1.52834        1.54217     0.00284125
              8        1.52054        1.53947     0.00354625
              9        1.51157        1.53637     0.00429868
             10        1.50148        1.53288     0.00509097
             11         1.4903        1.52901     0.00591922
             12        1.47797        1.52475     0.00678418
             13        1.46448        1.52012     0.00768505
             14        1.44986         1.5151     0.00862034
             15        1.43412         1.5097     0.00958832
             16        1.41727        1.50392      0.0105871
             17        1.39935        1.49777      0.0116148
             18        1.38042        1.49125      0.0126678
             19        1.36052        1.48437      0.0137433
             20        1.33961        1.47713      0.0148403
             21        1.31771        1.46954      0.0159576
             22        1.29487         1.4616      0.0170936
             23        1.27113        1.45332      0.0182466
             24        1.24652         1.4447      0.0194146
             25        1.22109        1.43576      0.0205957
             26        1.19489         1.4265      0.0217877
             27        1.16798        1.41692      0.0229884
             28        1.14043        1.40705      0.0241955
             29        1.11228        1.39688      0.0254066
             30        1.08362        1.38644      0.0266192
             31        1.05452        1.37573      0.0278307
             32        1.02505        1.36477      0.0290385
             33       0.995308        1.35358        0.03024
             34       0.965371        1.34216      0.0314323
             35       0.935333        1.33054      0.0326127
             36       0.905289        1.31872      0.0337784
             37       0.875337        1.30674      0.0349265
             38       0.845577         1.2946      0.0360542
             39       0.816111        1.28234      0.0371587
             40       0.787042        1.26995      0.0382372
             41       0.758475        1.25748      0.0392869
             42       0.730511        1.24493      0.0403053
             43       0.703255        1.23233      0.0412896
             44       0.676804        1.21971      0.0422375
             45       0.651256        1.20708      0.0431466
             46       0.626704        1.19446      0.0440146
             47       0.603235        1.18188      0.0448397
             48       0.580932        1.16936      0.0456199
             49       0.559871        1.15692      0.0463536
             50       0.540119        1.14459      0.0470394
             51       0.521736        1.13237      0.0476761
             52       0.504775         1.1203      0.0482627
             53       0.489277         1.1084      0.0487986
             54       0.475273        1.09667      0.0492833
             55       0.462785        1.08515      0.0497166
             56       0.451825        1.07384      0.0500986
             57       0.442393        1.06276      0.0504296
             58       0.434479        1.05193      0.0507102
             59       0.428062        1.04135      0.0509412
             60       0.423115        1.03105      0.0511237
             61       0.419597        1.02103      0.0512589
             62        0.41746        1.01129      0.0513482
             63       0.416647        1.00185      0.0513933
             64       0.417097       0.992716      0.0513961
             65        0.41874       0.983886      0.0513584
             66       0.421498       0.975364      0.0512822
             67       0.425293       0.967154      0.0511698
             68       0.430039       0.959256      0.0510233
             69       0.435648       0.951667       0.050845
             70        0.44203       0.944387      0.0506372
             71       0.449094       0.937411      0.0504022
             72       0.456749       0.930735      0.0501423
             73       0.464903       0.924354      0.0498599
             74       0.473468       0.918261       0.049557
             75        0.48236       0.912449      0.0492358
             76       0.491495        0.90691      0.0488986
             77        0.50079       0.901635      0.0485471
             78       0.510168       0.896617      0.0481835
             79       0.519556       0.891844      0.0478094
             80       0.528885       0.887307      0.0474265
             81       0.538092       0.882995      0.0470366
             82        0.54712       0.878899      0.0466409
             83       0.555915       0.875008      0.0462411
             84        0.56443       0.871311      0.0458381
             85       0.572623       0.867797      0.0454334
             86       0.580458       0.864455      0.0450278
             87       0.587905       0.861277      0.0446223
             88       0.594938        0.85825      0.0442177
             89       0.601534       0.855366      0.0438149
             90        0.60768       0.852614      0.0434144
             91       0.613363       0.849985      0.0430168
             92       0.618573       0.847469      0.0426227
             93       0.623308       0.845059      0.0422325
             94       0.627571       0.842745      0.0418466
             95       0.631366        0.84052      0.0414652
             96       0.634701       0.838376      0.0410886
             97       0.637585       0.836306      0.0407172
             98       0.640037       0.834303      0.0403509
             99       0.642073       0.832362        0.03999
            100        0.64371       0.830475      0.0396346
            101       0.644969       0.828638      0.0392847
            102       0.645877       0.826847      0.0389404
            103       0.646457       0.825095      0.0386017
            104       0.646739        0.82338      0.0382686
            105       0.646753       0.821698      0.0379411
            106       0.646527       0.820046      0.0376191
            107       0.646095        0.81842      0.0373027
            108       0.645487       0.816819      0.0369916
            109       0.644734        0.81524      0.0366859
            110        0.64387       0.813682      0.0363855
            111       0.642925       0.812144      0.0360902
            112       0.641934       0.810624      0.0357999
            113       0.640927       0.809122      0.0355146
            114       0.639937       0.807638      0.0352341
            115       0.638994       0.806172      0.0349582
