#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1       -7.51748       -7.51748              0
              2        -7.5178       -7.51764    0.000111366
              3       -7.51761       -7.51763    7.45894e-05
              4       -7.52318       -7.51902     0.00120164
              5       -7.51289       -7.51779     0.00145817
              6       -7.51633       -7.51755     0.00123531
              7       -7.52024       -7.51793     0.00111721
              8       -7.51776       -7.51791     0.00097776
              9       -7.51753       -7.51787    0.000870028
             10       -7.51755       -7.51784    0.000783626
             11        -7.5123       -7.51733    0.000858791
             12       -7.51827       -7.51741    0.000790759
             13       -7.52228       -7.51779    0.000813758
             14       -7.51571       -7.51764    0.000769092
             15       -7.51444       -7.51742    0.000746818
             16       -7.51812       -7.51747    0.000701399
             17       -7.51475       -7.51731    0.000678065
             18       -7.51889        -7.5174    0.000646091
             19       -7.51377       -7.51721    0.000639636
             20       -7.51787       -7.51724    0.000608509
             21       -7.51922       -7.51733    0.000586807
             22       -7.51905       -7.51741    0.000565304
             23        -7.5209       -7.51756    0.000560738
             24       -7.51583       -7.51749     0.00054198
             25       -7.51754       -7.51749    0.000520305
             26       -7.51578       -7.51743    0.000504446
             27       -7.51238       -7.51724    0.000519298
             28        -7.5176       -7.51725    0.000500909
             29       -7.51743       -7.51726    0.000483674
             30       -7.52614       -7.51756    0.000550731
             31        -7.5143       -7.51745    0.000542903
             32       -7.51516       -7.51738    0.000530631
             33       -7.51483        -7.5173    0.000520134
             34       -7.51928       -7.51736    0.000508074
             35       -7.51256       -7.51722    0.000511699
             36       -7.51952       -7.51729    0.000501441
             37       -7.51515       -7.51723    0.000491207
             38       -7.51817       -7.51725    0.000478902
             39       -7.52038       -7.51733     0.00047328
             40       -7.52074       -7.51742    0.000469044
             41       -7.51373       -7.51733    0.000466163
             42       -7.52298       -7.51746    0.000474095
             43       -7.51575       -7.51742    0.000464741
             44       -7.51791       -7.51743    0.000454308
             45        -7.5177       -7.51744     0.00044425
             46       -7.51738       -7.51744    0.000434595
             47       -7.51813       -7.51745    0.000425595
             48       -7.52014       -7.51751    0.000420404
             49       -7.51805       -7.51752    0.000411969
             50        -7.5165        -7.5175     0.00040423
             51       -7.51791       -7.51751    0.000396382
             52       -7.51937       -7.51754    0.000390371
             53       -7.51819       -7.51756    0.000383195
             54       -7.52102       -7.51762    0.000381424
             55       -7.51525       -7.51758    0.000376908
             56       -7.51975       -7.51762    0.000372168
             57       -7.51682        -7.5176    0.000365899
             58        -7.5159       -7.51757    0.000360765
             59       -7.52055       -7.51762    0.000358165
             60       -7.51662       -7.51761    0.000352586
             61       -7.51889       -7.51763    0.000347433
             62        -7.5158        -7.5176    0.000343074
             63        -7.5191       -7.51762    0.000338457
             64       -7.51746       -7.51762    0.000333178
             65       -7.51269       -7.51754    0.000336585
             66        -7.5192       -7.51757    0.000332419
             67       -7.51859       -7.51758     0.00032781
             68       -7.51596       -7.51756    0.000323855
             69       -7.51507       -7.51752    0.000321161
             70       -7.51481       -7.51749    0.000318908
             71       -7.51859        -7.5175    0.000314795
             72       -7.51865       -7.51752     0.00031083
             73       -7.51853       -7.51753    0.000306884
             74       -7.51435       -7.51749    0.000305724
             75       -7.51998       -7.51752    0.000303444
             76       -7.51894       -7.51754    0.000300026
             77        -7.5125       -7.51747    0.000303171
             78        -7.5137       -7.51743     0.00030313
             79       -7.51001       -7.51733    0.000313486
             80       -7.51723       -7.51733    0.000309569
             81       -7.51442       -7.51729    0.000307828
             82       -7.51519       -7.51727    0.000305143
             83       -7.52309       -7.51734    0.000309424
             84       -7.51809       -7.51735    0.000305868
             85       -7.51638       -7.51734    0.000302483
             86       -7.51577       -7.51732    0.000299512
             87       -7.51642       -7.51731    0.000296249
             88       -7.51798       -7.51732    0.000292982
             89       -7.51704       -7.51731    0.000289706
             90       -7.51753       -7.51732    0.000286496
             91        -7.5159        -7.5173    0.000283769
             92       -7.51658       -7.51729    0.000280794
             93       -7.51399       -7.51726    0.000280016
             94       -7.51517       -7.51723    0.000277914
             95        -7.5152       -7.51721    0.000275811
             96       -7.52088       -7.51725    0.000275568
             97       -7.51151       -7.51719    0.000279004
             98       -7.51911       -7.51721    0.000276844
             99       -7.52108       -7.51725    0.000276798
            100       -7.51341       -7.51721    0.000276688
