#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1       -6.31157       -6.31157              0
              2       -6.31142       -6.31149    5.32896e-05
              3       -6.31071       -6.31123    0.000216766
              4       -6.31137       -6.31126    0.000165215
              5       -6.31084       -6.31118    0.000151942
              6        -6.3107        -6.3111    0.000146322
              7       -6.31097       -6.31108    0.000126666
              8       -6.31053       -6.31101    0.000127935
              9       -6.31045       -6.31095    0.000127973
             10       -6.31078       -6.31093    0.000116301
             11       -6.31099       -6.31094     0.00010584
             12       -6.31053        -6.3109     0.00010223
             13       -6.30996       -6.31083    0.000117456
             14       -6.31122       -6.31086    0.000112265
             15       -6.31079       -6.31085     0.00010487
             16       -6.31049       -6.31083     0.00010081
             17       -6.31071       -6.31082    9.51434e-05
             18       -6.31039        -6.3108    9.28655e-05
             19       -6.31027       -6.31077    9.20708e-05
             20       -6.31012       -6.31074    9.30247e-05
             21       -6.31092       -6.31075    8.90027e-05
             22       -6.31057       -6.31074    8.53068e-05
             23       -6.30977        -6.3107    9.13771e-05
             24       -6.31093       -6.31071    8.80687e-05
             25       -6.31031       -6.31069    8.60047e-05
             26       -6.31022       -6.31067    8.46099e-05
             27       -6.30998       -6.31065    8.52433e-05
             28       -6.31024       -6.31063    8.34422e-05
             29        -6.3105       -6.31063    8.06871e-05
             30       -6.31072       -6.31063    7.80508e-05
             31       -6.31036       -6.31062    7.60312e-05
             32       -6.30989        -6.3106    7.70358e-05
             33       -6.31047        -6.3106    7.48061e-05
             34       -6.31163       -6.31063    7.85726e-05
             35       -6.31051       -6.31062    7.64017e-05
             36       -6.31062       -6.31062    7.42797e-05
             37        -6.3106       -6.31062    7.22749e-05
             38       -6.31025       -6.31061    7.10458e-05
             39       -6.31082       -6.31062    6.94309e-05
             40       -6.31124       -6.31063    6.93951e-05
             41       -6.30971       -6.31061    7.12631e-05
             42       -6.31107       -6.31062     7.0395e-05
             43       -6.31063       -6.31062    6.87586e-05
             44       -6.31043       -6.31062    6.73404e-05
             45       -6.31028       -6.31061    6.62704e-05
             46       -6.30947       -6.31058    6.93136e-05
             47       -6.30986       -6.31057    6.95158e-05
             48       -6.31038       -6.31057     6.8182e-05
             49       -6.30964       -6.31055    6.93578e-05
             50       -6.31016       -6.31054    6.83914e-05
             51       -6.31073       -6.31054    6.71488e-05
             52       -6.31008       -6.31053    6.64448e-05
             53       -6.30985       -6.31052    6.64159e-05
             54       -6.31008       -6.31051    6.56901e-05
             55       -6.31029       -6.31051    6.46224e-05
             56       -6.31053       -6.31051      6.347e-05
             57          -6.31        -6.3105    6.29854e-05
             58       -6.30998       -6.31049    6.25285e-05
             59       -6.30986       -6.31048    6.23889e-05
             60       -6.30931       -6.31046    6.43181e-05
             61        -6.3097       -6.31045    6.44577e-05
             62       -6.30955       -6.31043    6.50341e-05
             63       -6.31051       -6.31044     6.4012e-05
             64       -6.31031       -6.31043    6.30419e-05
             65       -6.30852        -6.3104    6.85894e-05
             66       -6.30968       -6.31039    6.84236e-05
             67       -6.31076        -6.3104    6.76229e-05
             68       -6.30998       -6.31039    6.69098e-05
             69       -6.30893       -6.31037    6.92302e-05
             70       -6.30896       -6.31035    7.10965e-05
             71       -6.31039       -6.31035    7.00972e-05
             72       -6.31021       -6.31035    6.91501e-05
             73        -6.3102       -6.31035    6.82335e-05
             74       -6.30947       -6.31034     6.8329e-05
             75       -6.30983       -6.31033    6.77554e-05
             76       -6.30893       -6.31031    6.93248e-05
             77       -6.30974        -6.3103    6.88165e-05
             78       -6.30935       -6.31029    6.90037e-05
             79       -6.30977       -6.31028      6.845e-05
             80       -6.30935       -6.31027    6.85822e-05
             81       -6.30946       -6.31026    6.84565e-05
             82       -6.31043       -6.31026    6.76523e-05
             83       -6.31052       -6.31027    6.69097e-05
             84       -6.30991       -6.31026    6.62521e-05
             85       -6.30935       -6.31025    6.63363e-05
             86       -6.30968       -6.31025    6.59014e-05
             87       -6.30948       -6.31024    6.57307e-05
             88       -6.31017       -6.31024    6.49888e-05
             89        -6.3098       -6.31023    6.44466e-05
             90       -6.31075       -6.31024    6.39839e-05
             91       -6.30962       -6.31023    6.36439e-05
             92       -6.30975       -6.31023     6.3162e-05
             93       -6.30962       -6.31022    6.28171e-05
             94       -6.30905       -6.31021    6.33587e-05
             95       -6.30969        -6.3102     6.2922e-05
             96       -6.30963       -6.31019    6.25482e-05
             97       -6.30902       -6.31018    6.30647e-05
             98       -6.30967       -6.31018    6.26383e-05
             99       -6.30941       -6.31017    6.24815e-05
            100       -6.30921       -6.31016    6.25964e-05
