# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
      0.0209762    0.000331063    0.000331063              0
      0.0629285     0.00297957     0.00297957              0
       0.104881     0.00926978     0.00926978              0
       0.146833      0.0118079      0.0118079              0
       0.188786       0.022402       0.022402              0
       0.230738      0.0353134      0.0353134              0
        0.27269      0.0411622      0.0411622              0
       0.314643      0.0637849      0.0637849              0
       0.356595      0.0789034      0.0789034              0
       0.398547       0.109803       0.109803              0
         0.4405       0.115651       0.115651              0
       0.482452       0.144013       0.144013              0
       0.524404       0.162221       0.162221              0
       0.566357       0.201507       0.201507              0
       0.608309       0.228434       0.228434              0
       0.650261       0.236379       0.236379              0
       0.692214       0.244435       0.244435              0
       0.734166       0.267389       0.267389              0
       0.776119       0.297847       0.297847              0
       0.818071       0.324552       0.324552              0
       0.860023       0.349824       0.349824              0
       0.901976       0.346734       0.346734              0
       0.943928       0.395179       0.395179              0
        0.98588       0.462165       0.462165              0
        1.02783       0.435459       0.435459              0
        1.06979       0.458412       0.458412              0
        1.11174       0.501561       0.501561              0
        1.15369       0.520432       0.520432              0
        1.19564       0.525508       0.525508              0
        1.23759       0.538971       0.538971              0
        1.27955       0.547469       0.547469              0
         1.3215       0.539744       0.539744              0
        1.36345       0.577706       0.577706              0
         1.4054       0.597349       0.597349              0
        1.44736       0.587748       0.587748              0
        1.48931       0.535992       0.535992              0
        1.53126       0.557952       0.557952              0
        1.57321       0.520983       0.520983              0
        1.61517       0.545041       0.545041              0
        1.65712       0.519328       0.519328              0
        1.69907       0.520652       0.520652              0
        1.74102       0.571526       0.571526              0
        1.78298       0.561484       0.561484              0
        1.82493       0.505203       0.505203              0
        1.86688       0.512486       0.512486              0
        1.90883       0.486001       0.486001              0
        1.95078       0.470551       0.470551              0
        1.99274       0.484456       0.484456              0
        2.03469       0.446936       0.446936              0
        2.07664       0.434134       0.434134              0
        2.11859       0.390655       0.390655              0
        2.16055       0.387234       0.387234              0
         2.2025       0.374984       0.374984              0
        2.24445       0.351258       0.351258              0
         2.2864       0.331284       0.331284              0
        2.32836       0.308661       0.308661              0
        2.37031        0.26783        0.26783              0
        2.41226       0.258009       0.258009              0
        2.45421       0.256353       0.256353              0
        2.49617       0.234062       0.234062              0
        2.53812       0.235055       0.235055              0
        2.58007        0.23042        0.23042              0
        2.62202       0.231855       0.231855              0
        2.66397       0.206915       0.206915              0
        2.70593       0.174801       0.174801              0
        2.74788       0.168401       0.168401              0
        2.78983       0.156483       0.156483              0
        2.83178       0.135736       0.135736              0
        2.87374       0.132977       0.132977              0
        2.91569       0.118852       0.118852              0
        2.95764       0.103402       0.103402              0
        2.99959      0.0971119      0.0971119              0
        3.04155       0.117307       0.117307              0
         3.0835       0.111348       0.111348              0
        3.12545      0.0981051      0.0981051              0
         3.1674      0.0901596      0.0901596              0
        3.20936      0.0711786      0.0711786              0
        3.25131       0.069744       0.069744              0
        3.29326      0.0604742      0.0604742              0
        3.33521      0.0489974      0.0489974              0
        3.37716      0.0389551      0.0389551              0
        3.41912      0.0376309      0.0376309              0
        3.46107      0.0342099      0.0342099              0
        3.50302      0.0324442      0.0324442              0
        3.54497      0.0389551      0.0389551              0
        3.58693      0.0233951      0.0233951              0
        3.62888      0.0204156      0.0204156              0
        3.67083      0.0175464      0.0175464              0
        3.71278       0.017436       0.017436              0
        3.75474       0.022402       0.022402              0
        3.79669      0.0141254      0.0141254              0
        3.83864     0.00893871     0.00893871              0
        3.88059     0.00684198     0.00684198              0
        3.92255     0.00838694     0.00838694              0
         3.9645     0.00463489     0.00463489              0
        4.00645     0.00662127     0.00662127              0
         4.0484     0.00529701     0.00529701              0
        4.09035     0.00386241     0.00386241              0
        4.13231     0.00342099     0.00342099              0
        4.17426     0.00209673     0.00209673              0
      0.0209762              0    0.000165532    0.000117049
      0.0629285     0.00220709     0.00259333    0.000273113
       0.104881      0.0075041     0.00838694    0.000624259
       0.146833      0.0171049      0.0144564     0.00187278
       0.188786      0.0322235      0.0273127     0.00347244
       0.230738      0.0433693      0.0393414     0.00284818
        0.27269      0.0472317       0.044197     0.00214589
       0.314643      0.0601432       0.061964     0.00128753
       0.356595      0.0828762      0.0808898     0.00140458
       0.398547      0.0903803       0.100092     0.00686685
         0.4405       0.118079       0.116865    0.000858356
       0.482452       0.137612       0.140812     0.00226294
       0.524404       0.170829       0.166525     0.00304326
       0.566357       0.190803       0.196155     0.00378457
       0.608309        0.20548       0.216957     0.00811537
       0.650261       0.222254       0.229317     0.00499407
       0.692214       0.225013       0.234724     0.00686685
       0.734166       0.278976       0.273182      0.0040967
       0.776119        0.30524       0.301544     0.00261409
       0.818071       0.326208        0.32538    0.000585243
       0.860023       0.344085       0.346954     0.00202884
       0.901976       0.353907        0.35032     0.00253605
       0.943928       0.399262       0.397221      0.0014436
        0.98588       0.410077       0.436121      0.0184156
        1.02783       0.437776       0.436617     0.00081934
        1.06979        0.47949       0.468951     0.00745209
        1.11174       0.469558        0.48556      0.0113147
        1.15369       0.489643       0.505037      0.0108855
        1.19564       0.533564       0.529536     0.00284818
        1.23759       0.536764       0.537868    0.000780324
        1.27955       0.548903       0.548186    0.000507211
         1.3215       0.574174       0.556959      0.0121731
        1.36345       0.592272       0.584989     0.00515014
         1.4054       0.605074       0.601211     0.00273113
        1.44736        0.59768       0.592714     0.00351146
        1.48931       0.582451       0.559221      0.0164258
        1.53126       0.564684       0.561318     0.00237999
        1.57321       0.599004       0.559994      0.0275845
        1.61517       0.558614       0.551828     0.00479899
        1.65712       0.548131       0.533729      0.0101832
        1.69907       0.553428        0.53704      0.0115878
        1.74102       0.567994        0.56976     0.00124852
        1.78298       0.521204       0.541344      0.0142409
        1.82493       0.530695       0.517949     0.00901274
        1.86688       0.508734        0.51061     0.00132655
        1.90883       0.441087       0.463544      0.0158796
        1.95078       0.435017       0.452784      0.0125632
        1.99274       0.426741       0.455598      0.0204055
        2.03469       0.404228       0.425582      0.0150993
        2.07664       0.424865         0.4295     0.00327736
        2.11859       0.428727       0.409691      0.0134606
        2.16055       0.432479       0.409856      0.0159966
         2.2025       0.404118       0.389551      0.0103003
        2.24445       0.350044       0.350651    0.000429178
         2.2864       0.356114       0.343699     0.00877864
        2.32836       0.328636       0.318649     0.00706193
        2.37031       0.306785       0.287308      0.0137727
        2.41226       0.284494       0.271251     0.00936389
        2.45421       0.259112       0.257733    0.000975405
        2.49617       0.246863       0.240462     0.00452588
        2.53812       0.222144       0.228599     0.00456489
