#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1       -5.46017       -5.46017              0
              2       -5.46131       -5.46074    0.000402316
              3       -5.44456       -5.45535     0.00441301
              4       -5.42937       -5.44885     0.00652587
              5       -5.45678       -5.45044     0.00540997
              6       -5.45507       -5.45121     0.00456302
              7       -5.45988       -5.45245     0.00407576
              8       -5.44971       -5.45211     0.00358062
              9       -5.45349       -5.45226     0.00318606
             10       -5.45899       -5.45293     0.00293772
             11       -5.43816       -5.45159     0.00296194
             12       -5.46093       -5.45237     0.00281558
             13       -5.43292       -5.45087     0.00296994
             14        -5.4329       -5.44959     0.00302272
             15       -5.47824        -5.4515     0.00337108
             16       -5.43548        -5.4505     0.00330572
             17       -5.45296       -5.45064     0.00311443
             18       -5.46042       -5.45119     0.00298842
             19        -5.4503       -5.45114      0.0028315
             20       -5.45505       -5.45134     0.00269665
             21       -5.45542       -5.45153     0.00257525
             22       -5.45017       -5.45147     0.00245893
             23       -5.44499       -5.45119     0.00236808
             24       -5.47697       -5.45226     0.00250129
             25       -5.43842       -5.45171     0.00246173
             26       -5.45808       -5.45195     0.00237923
             27       -5.45494       -5.45206     0.00229369
             28        -5.4476        -5.4519     0.00221729
             29       -5.41605       -5.45067     0.00246149
             30       -5.44439       -5.45046     0.00238831
             31       -5.43301        -5.4499     0.00237669
             32       -5.44527       -5.44975      0.0023068
             33       -5.45423       -5.44989     0.00224089
             34       -5.45684       -5.45009     0.00218429
             35       -5.45078       -5.45011     0.00212197
             36       -5.46404        -5.4505       0.002098
             37       -5.42244       -5.44974     0.00217403
             38       -5.44936       -5.44973     0.00211684
             39       -5.42031       -5.44898     0.00219283
             40        -5.4502       -5.44901     0.00213823
             41       -5.47502       -5.44964     0.00217815
             42       -5.46036        -5.4499      0.0021412
             43       -5.46898       -5.45034     0.00213692
             44       -5.46061       -5.45057     0.00210106
             45       -5.47011       -5.45101     0.00209873
             46       -5.44829       -5.45095     0.00205393
             47       -5.48636        -5.4517     0.00214398
             48       -5.46483       -5.45198      0.0021167
             49       -5.47456       -5.45244      0.0021231
             50       -5.45013       -5.45239     0.00208114
             51       -5.44269        -5.4522       0.002049
             52       -5.45339       -5.45222     0.00200972
             53       -5.43093       -5.45182     0.00201156
             54        -5.4522       -5.45183     0.00197432
             55       -5.45608       -5.45191     0.00193994
             56         -5.447       -5.45182     0.00190727
             57       -5.45102        -5.4518     0.00187386
             58       -5.46529       -5.45204     0.00185591
             59       -5.43463       -5.45174     0.00184777
             60       -5.46713         -5.452     0.00183469
             61       -5.45445       -5.45204     0.00180506
             62       -5.45001       -5.45201     0.00177624
             63       -5.46024       -5.45214     0.00175285
             64       -5.43425       -5.45186      0.0017476
             65       -5.47046       -5.45214     0.00174399
             66       -5.45432       -5.45218     0.00171788
             67       -5.43706       -5.45195     0.00170699
             68       -5.44939       -5.45191      0.0016823
             69       -5.46688       -5.45213     0.00167185
             70        -5.4586       -5.45222     0.00165052
             71       -5.46073       -5.45234     0.00163161
             72       -5.46744       -5.45255     0.00162237
             73       -5.48624       -5.45301      0.0016645
             74       -5.47916       -5.45337     0.00167909
             75       -5.43073       -5.45306      0.0016836
             76       -5.44379       -5.45294     0.00166587
             77       -5.45112       -5.45292      0.0016444
             78       -5.45233       -5.45291     0.00162334
             79       -5.43507       -5.45269     0.00161842
             80        -5.4809       -5.45304     0.00163617
             81       -5.47124       -5.45326     0.00163133
             82       -5.45554       -5.45329     0.00161168
             83       -5.43131       -5.45303     0.00161388
             84        -5.4163       -5.45259     0.00165282
             85       -5.47218       -5.45282     0.00164937
             86       -5.45887       -5.45289     0.00163169
             87       -5.45382        -5.4529     0.00161297
             88       -5.47495       -5.45315     0.00161399
             89       -5.43509       -5.45295     0.00160856
             90       -5.46281       -5.45306     0.00159442
             91       -5.48211       -5.45338     0.00160853
             92       -5.46504        -5.4535     0.00159604
             93       -5.43428        -5.4533     0.00159221
             94       -5.44359       -5.45319     0.00157862
             95       -5.43076       -5.45296     0.00157956
             96       -5.44096       -5.45283     0.00156805
             97       -5.44312       -5.45273     0.00155507
             98       -5.44128       -5.45262     0.00154359
             99       -5.43334       -5.45242     0.00154023
            100       -5.45194       -5.45242     0.00152483
