#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1       -3.80693       -3.80693              0
              2       -3.80484       -3.80589    0.000736334
              3       -3.80641       -3.80606     0.00051155
              4       -3.80549       -3.80592    0.000403384
              5       -3.80732        -3.8062    0.000409137
              6       -3.80619        -3.8062     0.00034095
              7       -3.80792       -3.80644    0.000370306
              8       -3.80689        -3.8065     0.00032825
              9       -3.80729       -3.80659    0.000303322
             10       -3.80657       -3.80658    0.000272996
             11       -3.80681       -3.80661    0.000248943
             12       -3.80767       -3.80669    0.000243519
             13       -3.80648       -3.80668    0.000225361
             14       -3.80607       -3.80663    0.000213357
             15       -3.80692       -3.80665    0.000200002
             16       -3.80692       -3.80667    0.000188177
             17       -3.80631       -3.80665     0.00017828
             18       -3.80797       -3.80672    0.000182821
             19       -3.80671       -3.80672      0.0001732
             20       -3.80699       -3.80674    0.000165061
             21       -3.80704       -3.80675    0.000157838
             22       -3.80745       -3.80678    0.000153846
             23       -3.80755       -3.80682    0.000150781
             24       -3.80707       -3.80683    0.000144876
             25       -3.80703       -3.80683    0.000139304
             26       -3.80593        -3.8068    0.000138225
             27       -3.80667       -3.80679    0.000133189
             28       -3.80575       -3.80676    0.000133586
             29       -3.80514        -3.8067    0.000140139
             30       -3.80669        -3.8067    0.000135468
             31       -3.80723       -3.80672    0.000132186
             32       -3.80637       -3.80671    0.000128503
             33       -3.80755       -3.80673    0.000127139
             34       -3.80634       -3.80672    0.000123912
             35       -3.80784       -3.80675    0.000124427
             36       -3.80792       -3.80679    0.000125128
             37       -3.80663       -3.80678    0.000121815
             38       -3.80594       -3.80676    0.000120618
             39        -3.8066       -3.80676     0.00011759
             40        -3.8063       -3.80674    0.000115196
             41        -3.8071       -3.80675    0.000112712
             42       -3.80731       -3.80677    0.000110796
             43       -3.80551       -3.80674     0.00011203
             44       -3.80683       -3.80674    0.000109504
             45        -3.8082       -3.80677    0.000111754
             46       -3.80604       -3.80676    0.000110442
             47       -3.80775       -3.80678    0.000110095
             48       -3.80699       -3.80678    0.000107889
             49       -3.80774        -3.8068    0.000107432
             50       -3.80614       -3.80679    0.000106094
             51       -3.80654       -3.80678    0.000104125
             52       -3.80719       -3.80679    0.000102424
             53       -3.80654       -3.80679    0.000100598
             54       -3.80683       -3.80679    9.87387e-05
             55       -3.80857       -3.80682    0.000102153
             56       -3.80816       -3.80684    0.000103111
             57       -3.80731       -3.80685    0.000101624
             58       -3.80811       -3.80687    0.000102151
             59       -3.80583       -3.80685    0.000101948
             60       -3.80689       -3.80686    0.000100251
             61       -3.80862       -3.80688    0.000102686
             62       -3.80721       -3.80689    0.000101163
             63       -3.80836       -3.80691    0.000102229
             64        -3.8067       -3.80691    0.000100685
             65       -3.80683       -3.80691    9.91437e-05
             66       -3.80737       -3.80692    9.78843e-05
             67       -3.80748       -3.80692    9.67849e-05
             68       -3.80673       -3.80692    9.54019e-05
             69       -3.80708       -3.80692    9.40474e-05
             70       -3.80842       -3.80694    9.50892e-05
             71       -3.80761       -3.80695    9.42141e-05
             72       -3.80714       -3.80696    9.29428e-05
             73       -3.80641       -3.80695    9.19737e-05
             74       -3.80768       -3.80696    9.12559e-05
             75       -3.80603       -3.80695    9.08707e-05
             76        -3.8053       -3.80692    9.22288e-05
             77        -3.8069       -3.80692    9.10317e-05
             78       -3.80612       -3.80691    9.04449e-05
             79       -3.80667       -3.80691    8.93522e-05
             80       -3.80647       -3.80691    8.84033e-05
             81       -3.80729       -3.80691    8.74359e-05
             82       -3.80701       -3.80691    8.63775e-05
             83       -3.80694       -3.80691    8.53375e-05
             84       -3.80724       -3.80692    8.44133e-05
             85       -3.80624       -3.80691    8.37953e-05
             86       -3.80676       -3.80691    8.28381e-05
             87       -3.80798       -3.80692    8.28036e-05
             88        -3.8078       -3.80693    8.24685e-05
             89       -3.80537       -3.80691    8.33755e-05
             90       -3.80723       -3.80691    8.25263e-05
             91       -3.80741       -3.80692       8.18e-05
             92       -3.80797       -3.80693    8.17027e-05
             93       -3.80804       -3.80694    8.16871e-05
             94        -3.8073       -3.80695    8.09054e-05
             95       -3.80644       -3.80694    8.02288e-05
             96        -3.8058       -3.80693    8.02631e-05
             97       -3.80718       -3.80693    7.94775e-05
             98       -3.80704       -3.80693    7.86744e-05
             99       -3.80644       -3.80693    7.80377e-05
            100        -3.8079       -3.80694    7.78607e-05
