#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1         1.3627         1.3627              0
              2        1.36265        1.36267    1.74242e-05
              3         1.3626        1.36265    2.32354e-05
              4        1.36255        1.36262    2.75579e-05
              5         1.3625         1.3626    3.11833e-05
              6        1.36245        1.36257    3.43825e-05
              7         1.3624        1.36255     3.7285e-05
              8        1.36235        1.36252    3.99647e-05
              9         1.3623         1.3625    4.24688e-05
             10        1.36225        1.36247    4.48296e-05
             11         1.3622        1.36245    4.70703e-05
             12        1.36215        1.36243    4.92087e-05
             13         1.3621         1.3624    5.12582e-05
             14        1.36205        1.36238    5.32299e-05
             15          1.362        1.36235    5.51324e-05
             16        1.36196        1.36233     5.6973e-05
             17        1.36191         1.3623    5.87579e-05
             18        1.36178        1.36227    6.22406e-05
             19        1.36173        1.36224    6.51956e-05
             20        1.36168        1.36222    6.77646e-05
             21        1.36158        1.36219    7.09775e-05
             22        1.36153        1.36216    7.37386e-05
             23        1.36148        1.36213    7.61582e-05
             24        1.36143         1.3621    7.83146e-05
             25        1.36138        1.36207    8.02648e-05
             26        1.36133        1.36204    8.21117e-05
             27        1.36127        1.36201     8.3901e-05
             28        1.36122        1.36198    8.55574e-05
             29        1.36117        1.36196    8.71048e-05
             30        1.36112        1.36193    8.85618e-05
             31        1.36107         1.3619    8.99432e-05
             32        1.36102        1.36187     9.1261e-05
             33        1.36097        1.36184    9.25247e-05
             34        1.36092        1.36182    9.37421e-05
             35        1.36087        1.36179    9.49194e-05
             36        1.36082        1.36176    9.60619e-05
             37        1.36077        1.36174    9.71738e-05
             38        1.36072        1.36171    9.82587e-05
             39        1.36067        1.36168    9.93195e-05
             40        1.36061        1.36166    0.000100359
             41        1.36056        1.36163    0.000101378
             42        1.36051         1.3616    0.000102379
             43        1.36046        1.36158    0.000103364
             44        1.36044        1.36155    0.000104189
             45        1.36039        1.36152    0.000105014
             46        1.36034         1.3615    0.000105839
             47        1.36029        1.36147    0.000106663
             48        1.36024        1.36145    0.000107486
             49        1.36019        1.36142    0.000108305
             50        1.36014         1.3614    0.000109121
             51        1.36009        1.36137    0.000109932
             52        1.36004        1.36135    0.000110739
             53           1.36        1.36132    0.000111539
             54        1.35995        1.36129    0.000112333
             55         1.3599        1.36127     0.00011312
             56        1.35985        1.36124    0.000113899
             57         1.3598        1.36122    0.000114669
             58        1.35976        1.36119    0.000115429
             59        1.35973        1.36117    0.000116103
             60         1.3597        1.36114    0.000116722
             61        1.35965        1.36112     0.00011734
             62        1.35961        1.36109    0.000117953
             63        1.35956        1.36107     0.00011856
             64        1.35952        1.36105    0.000119161
             65        1.35948        1.36102    0.000119752
             66        1.35943          1.361    0.000120334
             67        1.35939        1.36097    0.000120904
             68        1.35935        1.36095    0.000121461
             69        1.35931        1.36093    0.000122004
             70        1.35926         1.3609    0.000122562
             71        1.35922        1.36088    0.000123108
             72        1.35918        1.36086    0.000123632
             73        1.35915        1.36083    0.000124133
             74        1.35911        1.36081     0.00012461
             75        1.35908        1.36079    0.000125062
             76        1.35905        1.36076    0.000125486
             77        1.35902        1.36074    0.000125882
             78        1.35899        1.36072    0.000126247
             79        1.35897         1.3607    0.000126581
             80        1.35894        1.36067    0.000126881
             81        1.35892        1.36065    0.000127146
             82         1.3589        1.36063    0.000127375
             83        1.35888        1.36061    0.000127569
             84        1.35888        1.36059     0.00012771
             85        1.35887        1.36057    0.000127804
             86        1.35886        1.36055    0.000127856
             87        1.35886        1.36053    0.000127846
             88        1.35887        1.36051    0.000127774
             89        1.35889        1.36049    0.000127622
             90        1.35891        1.36047    0.000127412
             91        1.35892        1.36046    0.000127159
             92        1.35893        1.36044    0.000126863
             93        1.35895        1.36043    0.000126515
             94        1.35897        1.36041    0.000126106
             95          1.359        1.36039    0.000125647
             96        1.35904        1.36038    0.000125131
             97        1.35908        1.36037    0.000124558
             98        1.35912        1.36035    0.000123931
             99        1.35918        1.36034    0.000123246
            100        1.35925        1.36033    0.000122498
            101        1.35932        1.36032    0.000121697
            102        1.35939        1.36031    0.000120844
            103        1.35948         1.3603     0.00011994
            104        1.35957         1.3603    0.000118994
            105        1.35968        1.36029    0.000118007
            106        1.35979        1.36029    0.000116987
            107        1.35992        1.36028    0.000115944
            108        1.36006        1.36028     0.00011489
            109        1.36021        1.36028    0.000113838
            110        1.36037        1.36028    0.000112806
            111        1.36055        1.36028    0.000111815
            112        1.36074        1.36029     0.00011089
            113        1.36094        1.36029    0.000110059
            114        1.36116         1.3603    0.000109358
            115         1.3614        1.36031    0.000108822
            116        1.36165        1.36032    0.000108497
            117        1.36193        1.36034    0.000108431
            118        1.36222        1.36035    0.000108677
            119        1.36253        1.36037     0.00010929
            120        1.36286        1.36039     0.00011033
            121        1.36321        1.36041    0.000111854
            122        1.36359        1.36044    0.000113923
            123        1.36398        1.36047    0.000116583
            124        1.36441         1.3605    0.000119891
            125        1.36485        1.36054    0.000123884
            126        1.36532        1.36057    0.000128589
            127        1.36582        1.36062    0.000134044
            128        1.36634        1.36066    0.000140259
            129        1.36688        1.36071    0.000147221
            130        1.36746        1.36076    0.000154968
            131        1.36806        1.36082    0.000163487
            132        1.36868        1.36088    0.000172773
            133        1.36933        1.36094    0.000182804
            134        1.37001        1.36101    0.000193575
            135         1.3707        1.36108    0.000205036
            136        1.37142        1.36115    0.000217168
            137        1.37216        1.36123    0.000229964
            138        1.37292        1.36132    0.000243391
            139         1.3737        1.36141    0.000257418
            140        1.37448         1.3615    0.000271991
            141        1.37528         1.3616    0.000287091
            142        1.37609         1.3617    0.000302672
            143        1.37691        1.36181    0.000318701
            144        1.37773        1.36192    0.000335115
            145        1.37854        1.36203    0.000351854
            146        1.37932        1.36215    0.000368838
            147         1.3801        1.36227    0.000385999
            148        1.38084         1.3624    0.000403268
            149        1.38155        1.36253    0.000420554
            150        1.38222        1.36266    0.000437763
            151        1.38283        1.36279    0.000454791
            152        1.38338        1.36293    0.000471537
            153        1.38387        1.36306     0.00048791
            154        1.38427         1.3632    0.000503793
            155        1.38459        1.36334    0.000519087
            156         1.3848        1.36348    0.000533671
            157         1.3849        1.36361    0.000547444
            158         1.3849        1.36375    0.000560306
            159        1.38477        1.36388    0.000572172
