#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        1.82426        1.82426              0
              2        1.86565        1.84496      0.0146313
              3        1.82523        1.83838      0.0111337
              4        1.78403        1.82479      0.0144295
              5        1.78521        1.81688      0.0135419
              6        1.77191        1.80938      0.0131971
              7        1.77898        1.80504      0.0120051
              8        1.72913        1.79555      0.0137522
              9        1.79367        1.79534      0.0122258
             10        1.77177        1.79299      0.0112281
             11         1.7575        1.78976      0.0106609
             12        1.74852        1.78632      0.0103115
             13         1.7805        1.78587       0.009528
             14         1.8279        1.78888     0.00930839
             15          1.849        1.79288     0.00951161
             16        1.79941        1.79329     0.00892587
             17        1.78116        1.79258     0.00842931
             18          1.745        1.78994     0.00836523
             19        1.80587        1.79077      0.0079669
             20        1.74177        1.78832     0.00793639
             21        1.74633        1.78632     0.00780628
             22        1.76117        1.78518     0.00753475
             23        1.75354        1.78381     0.00733165
             24         1.7971        1.78436     0.00704707
             25        1.82655        1.78605     0.00696432
             26        1.75962        1.78503     0.00677023
             27        1.80953        1.78594     0.00658001
             28        1.80324        1.78656     0.00637395
             29        1.77835        1.78627     0.00616044
             30        1.78262        1.78615      0.0059563
             31        1.80481        1.78675     0.00579451
             32        1.80531        1.78733     0.00564237
             33        1.74273        1.78598     0.00563092
             34        1.74737        1.78485     0.00557867
             35        1.76082        1.78416     0.00546135
             36        1.78271        1.78412     0.00530979
             37        1.75339        1.78329     0.00523083
             38        1.79172        1.78351     0.00509788
             39        1.81431         1.7843     0.00502797
             40        1.81577        1.78509     0.00496344
             41        1.81748        1.78588     0.00490485
             42        1.76752        1.78544      0.0048075
             43         1.7384        1.78435     0.00481854
             44        1.72189        1.78293     0.00491364
             45        1.79872        1.78328     0.00481697
             46        1.83393        1.78438      0.0048365
             47        1.81162        1.78496     0.00476818
             48        1.78481        1.78496     0.00466885
             49        1.75892        1.78442     0.00460369
             50        1.74224        1.78358     0.00458828
             51        1.75081        1.78294     0.00454309
             52        1.77439        1.78277     0.00445869
             53        1.76899        1.78251     0.00438215
             54        1.75793        1.78206     0.00432458
             55        1.74682        1.78142     0.00429315
             56        1.77515        1.78131     0.00421794
             57        1.80618        1.78174     0.00416646
             58        1.78534         1.7818     0.00409509
             59        1.77611        1.78171     0.00402682
             60        1.72949        1.78084     0.00405267
             61        1.75833        1.78047     0.00400299
             62        1.79462         1.7807     0.00394493
             63        1.78467        1.78076     0.00388282
             64        1.80359        1.78112     0.00383851
             65        1.77368          1.781     0.00378116
             66        1.77302        1.78088      0.0037258
             67        1.73347        1.78017      0.0037368
             68         1.7627        1.77992     0.00369066
             69        1.75009        1.77948     0.00366241
             70        1.72986        1.77877     0.00367805
             71        1.80109        1.77909     0.00363965
             72        1.80909        1.77951     0.00361287
             73        1.75617        1.77919     0.00357749
             74        1.73909        1.77864     0.00356993
             75        1.72468        1.77792     0.00359411
             76        1.81244        1.77838      0.0035754
             77        1.79076        1.77854     0.00353258
             78         1.7532        1.77821      0.0035022
             79        1.78472         1.7783     0.00345883
             80        1.81246        1.77872     0.00344186
             81        1.85577        1.77968     0.00352835
             82        1.82408        1.78022     0.00352663
             83        1.83797        1.78091     0.00355212
             84         1.8114        1.78128     0.00352833
             85        1.80817        1.78159     0.00350097
             86        1.81812        1.78202     0.00348594
             87        1.80685         1.7823     0.00345754
             88        1.84233        1.78298      0.0034849
             89        1.81407        1.78333      0.0034632
             90        1.83029        1.78386     0.00346379
             91        1.84693        1.78455      0.0034944
             92         1.8041        1.78476     0.00346287
             93        1.76982         1.7846     0.00342936
             94        1.82553        1.78504     0.00342042
             95         1.8212        1.78542     0.00340552
             96        1.79557        1.78552     0.00337169
             97        1.87404        1.78643     0.00345822
             98        1.85985        1.78718     0.00350313
             99        1.87168        1.78804      0.0035702
            100        1.79017        1.78806     0.00353456
