#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1      -0.455954      -0.455954              0
              2      -0.497411      -0.476682      0.0146574
              3      -0.456787      -0.470051      0.0111716
              4      -0.415633      -0.456446      0.0144572
              5      -0.416825      -0.448522      0.0135648
              6      -0.403469      -0.441013      0.0132199
              7      -0.410709      -0.436684      0.0120193
              8      -0.360863      -0.427206      0.0137551
              9      -0.425339      -0.426999      0.0122283
             10      -0.403462      -0.424645      0.0112297
             11      -0.389238      -0.421426      0.0106601
             12      -0.380199      -0.417991      0.0103106
             13      -0.412154      -0.417542     0.00952721
             14      -0.459612      -0.420547     0.00930855
             15      -0.480774      -0.424562     0.00951461
             16      -0.431076      -0.424969     0.00892865
             17      -0.412874      -0.424258     0.00843173
             18      -0.376725      -0.421617      0.0083666
             19      -0.437559      -0.422456     0.00796822
             20      -0.373402      -0.420003     0.00793832
             21      -0.377968      -0.418002      0.0078086
             22      -0.392697      -0.416851      0.0075379
             23      -0.385344      -0.415482     0.00733358
             24      -0.428888       -0.41604     0.00704926
             25      -0.458275       -0.41773     0.00696679
             26      -0.391345      -0.416715     0.00677234
             27      -0.441385      -0.417628     0.00658286
             28      -0.434947      -0.418247     0.00637675
             29      -0.410002      -0.417963      0.0061632
             30      -0.414187      -0.417837     0.00595904
             31      -0.436358      -0.418434     0.00579669
             32      -0.436938      -0.419012     0.00564431
             33      -0.374389       -0.41766     0.00563292
             34      -0.379129      -0.416527     0.00558008
             35       -0.39246      -0.415839     0.00546285
             36       -0.41451      -0.415802     0.00531123
             37      -0.385134      -0.414974     0.00523196
             38      -0.423381      -0.415195     0.00509896
             39      -0.446024      -0.415985     0.00502912
             40      -0.447505      -0.416773     0.00496474
             41      -0.449256      -0.417566     0.00490645
             42      -0.399146      -0.417127     0.00480919
             43      -0.370007      -0.416031     0.00482058
             44      -0.353531      -0.414611     0.00491585
             45      -0.430403      -0.414962     0.00481912
             46       -0.46574      -0.416066     0.00483913
             47      -0.443358      -0.416646     0.00477088
             48      -0.416498      -0.416643     0.00467149
             49      -0.390548      -0.416111     0.00460641
             50      -0.373885      -0.415266     0.00459104
             51      -0.382383      -0.414621     0.00454607
             52      -0.405929      -0.414454     0.00446172
             53      -0.400605      -0.414193     0.00438518
             54      -0.389712      -0.413739     0.00432734
             55      -0.378728      -0.413103     0.00429523
             56      -0.406937      -0.412993     0.00421994
             57      -0.437924       -0.41343     0.00416851
             58      -0.416986      -0.413492     0.00409709
             59      -0.407812      -0.413395     0.00402878
             60      -0.361108      -0.412524     0.00405479
             61      -0.389955      -0.412154     0.00400516
             62      -0.426328      -0.412382     0.00394708
             63      -0.416385      -0.412446     0.00388494
             64      -0.435286      -0.412803      0.0038406
             65      -0.405421      -0.412689     0.00378319
             66      -0.404781      -0.412569     0.00372776
             67      -0.365076      -0.411861     0.00373892
             68      -0.394346      -0.411603     0.00369279
             69      -0.381681      -0.411169     0.00366465
             70      -0.361515       -0.41046     0.00368031
             71      -0.432691      -0.410773     0.00364177
             72      -0.440761       -0.41119     0.00361493
             73      -0.387802      -0.410869     0.00357957
             74      -0.370715      -0.410327     0.00357209
             75      -0.356393      -0.409608     0.00359612
             76      -0.443979       -0.41006     0.00357713
             77      -0.422294      -0.410219      0.0035342
             78      -0.384774      -0.409892     0.00350391
             79      -0.416299      -0.409974      0.0034605
             80      -0.444345      -0.410403     0.00344381
             81      -0.487571      -0.411356     0.00353061
             82      -0.455589      -0.411895     0.00352852
             83      -0.469553       -0.41259     0.00355373
             84      -0.443087      -0.412953     0.00352992
             85       -0.43998      -0.413271     0.00350268
             86      -0.449864      -0.413696      0.0034877
             87      -0.438568      -0.413982     0.00345931
             88      -0.474144      -0.414666      0.0034869
             89      -0.445778      -0.415016      0.0034652
             90      -0.461956      -0.415537     0.00346573
             91      -0.478658      -0.416231     0.00349637
             92      -0.435704      -0.416442     0.00346476
             93      -0.401543      -0.416282     0.00343121
             94      -0.457174      -0.416717     0.00342217
             95      -0.452988      -0.417099     0.00340738
             96      -0.427384      -0.417206     0.00337357
             97      -0.505839       -0.41812     0.00346033
             98       -0.49149      -0.418869     0.00350507
             99       -0.50346      -0.419723      0.0035723
            100      -0.421969      -0.419746     0.00353665
