#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1          2.325          2.325              0
              2        2.32409        2.32455    0.000320258
              3        2.32138        2.32349    0.000888467
              4        2.31686        2.32183     0.00158348
              5        2.31053        2.31957     0.00238553
              6        2.30241        2.31671     0.00328148
              7         2.2925        2.31325     0.00426188
              8        2.28081         2.3092     0.00531937
              9        2.26735        2.30455     0.00644802
             10        2.25223        2.29932     0.00763645
             11        2.23546        2.29351     0.00887882
             12        2.21695        2.28713      0.0101763
             13        2.19672        2.28018      0.0115276
             14        2.17479        2.27265      0.0129305
             15        2.15118        2.26455      0.0143825
             16        2.12591        2.25589      0.0158807
             17        2.09902        2.24666      0.0174222
             18        2.07063        2.23688      0.0190018
             19        2.04078        2.22656       0.020615
             20        2.00941         2.2157      0.0222605
             21        1.97657        2.20431      0.0239364
             22        1.94231         2.1924      0.0256404
             23        1.90669        2.17998      0.0273698
             24        1.86978        2.16706      0.0291219
             25        1.83163        2.15364      0.0308935
             26        1.79234        2.13974      0.0326815
             27        1.75198        2.12538      0.0344826
             28        1.71064        2.11057      0.0362932
             29        1.66842        2.09532      0.0381099
             30        1.62543        2.07966      0.0399288
             31        1.58178         2.0636       0.041746
             32        1.53758        2.04716      0.0435578
             33        1.49296        2.03037        0.04536
             34        1.44806        2.01324      0.0471484
             35          1.403         1.9958       0.048919
             36        1.35793        1.97809      0.0506675
             37        1.31301        1.96011      0.0523897
             38        1.26837        1.94191      0.0540813
             39        1.22417         1.9235       0.055738
             40        1.18056        1.90493      0.0573558
             41        1.13771        1.88622      0.0589304
             42        1.09577         1.8674      0.0604579
             43        1.05488         1.8485      0.0619344
             44        1.01521        1.82956      0.0633562
             45       0.976884        1.81061      0.0647198
             46       0.940055        1.79169      0.0660219
             47       0.904853        1.77282      0.0672595
             48       0.871399        1.75404      0.0684298
             49       0.839807        1.73538      0.0695304
             50       0.810178        1.71688      0.0705591
             51       0.782604        1.69856      0.0715141
             52       0.757163        1.68046      0.0723941
             53       0.733916         1.6626      0.0731979
             54       0.712909        1.64501      0.0739249
             55       0.694177        1.62772      0.0745749
             56       0.677737        1.61076      0.0751479
             57       0.663589        1.59414      0.0756444
             58       0.651718        1.57789      0.0760653
             59       0.642094        1.56203      0.0764118
             60       0.634673        1.54658      0.0766855
             61       0.629396        1.53154      0.0768883
             62       0.626189        1.51694      0.0770223
             63       0.624971        1.50278        0.07709
             64       0.625646        1.48907      0.0770941
             65        0.62811        1.47583      0.0770375
             66       0.632247        1.46305      0.0769233
             67       0.637939        1.45073      0.0767546
             68       0.645058        1.43888      0.0765349
             69       0.653472         1.4275      0.0762675
             70       0.663045        1.41658      0.0759558
             71       0.673642        1.40612      0.0756033
             72       0.685123         1.3961      0.0752135
             73       0.697354        1.38653      0.0747898
             74       0.710202        1.37739      0.0743355
             75       0.723541        1.36867      0.0738538
             76       0.737242        1.36036      0.0733479
             77       0.751185        1.35245      0.0728207
             78       0.765253        1.34492      0.0722752
             79       0.779334        1.33777       0.071714
             80       0.793327        1.33096      0.0711398
             81       0.807138        1.32449      0.0705548
             82        0.82068        1.31835      0.0699614
             83       0.833872        1.31251      0.0693616
             84       0.846645        1.30697      0.0687572
             85       0.858935        1.30169      0.0681501
             86       0.870687        1.29668      0.0675416
             87       0.881858        1.29192      0.0669334
             88       0.892407        1.28738      0.0663266
             89       0.902302        1.28305      0.0657223
             90        0.91152        1.27892      0.0651216
             91       0.920044        1.27498      0.0645252
             92       0.927859         1.2712      0.0639341
             93       0.934962        1.26759      0.0633488
             94       0.941357        1.26412      0.0627699
             95       0.947049        1.26078      0.0621978
             96       0.952051        1.25756       0.061633
             97       0.956378        1.25446      0.0610757
             98       0.960055        1.25146      0.0605264
             99       0.963109        1.24854       0.059985
            100       0.965565        1.24571      0.0594519
            101       0.967454        1.24296       0.058927
            102       0.968815        1.24027      0.0584106
            103       0.969685        1.23764      0.0579025
            104       0.970108        1.23507      0.0574029
            105       0.970129        1.23255      0.0569116
            106       0.969791        1.23007      0.0564287
            107       0.969142        1.22763       0.055954
            108        0.96823        1.22523      0.0554874
            109       0.967101        1.22286      0.0550289
            110       0.965804        1.22052      0.0545782
            111       0.964388        1.21822      0.0541353
            112       0.962901        1.21594      0.0536999
            113        0.96139        1.21368      0.0532719
            114       0.959906        1.21146      0.0528511
            115       0.958491        1.20926      0.0524373
            116       0.957189        1.20708      0.0520302
            117       0.956044        1.20494      0.0516298
            118       0.955093        1.20282      0.0512356
            119       0.954369        1.20073      0.0508476
            120       0.953907        1.19868      0.0504654
            121       0.953739        1.19665       0.050089
            122       0.953888        1.19466      0.0497179
            123       0.954382        1.19271      0.0493521
            124       0.955239        1.19079      0.0489912
            125        0.95647        1.18892      0.0486351
            126       0.958083        1.18709      0.0482836
            127       0.960086         1.1853      0.0479365
            128       0.962479        1.18356      0.0475936
            129       0.965262        1.18187      0.0472547
            130       0.968431        1.18023      0.0469197
            131       0.971976        1.17864      0.0465885
            132       0.975885         1.1771      0.0462609
            133        0.98014        1.17562      0.0459367
            134       0.984722        1.17419       0.045616
            135        0.98961        1.17283      0.0452986
            136       0.994779        1.17152      0.0449844
            137         1.0002        1.17027      0.0446735
            138        1.00586        1.16908      0.0443656
            139        1.01171        1.16794      0.0440609
            140        1.01775        1.16687      0.0437592
            141        1.02392        1.16586      0.0434606
            142        1.03022         1.1649      0.0431651
            143         1.0366          1.164      0.0428725
            144        1.04304        1.16316       0.042583
            145        1.04952        1.16238      0.0422966
            146        1.05601        1.16165      0.0420131
            147        1.06249        1.16098      0.0417328
            148        1.06895        1.16036      0.0414554
            149        1.07536        1.15979      0.0411811
            150         1.0817        1.15926      0.0409099
            151        1.08797        1.15879      0.0406417
            152        1.09414        1.15837      0.0403765
            153         1.1002        1.15799      0.0401144
            154        1.10615        1.15765      0.0398553
            155        1.11197        1.15736      0.0395993
            156        1.11767         1.1571      0.0393463
            157        1.12324        1.15689      0.0390962
            158        1.12869        1.15671      0.0388492
            159        1.13401        1.15656      0.0386051
            160         1.1392        1.15646       0.038364
            161        1.14427        1.15638      0.0381258
            162        1.14923        1.15634      0.0378905
            163        1.15407        1.15632       0.037658
            164        1.15882        1.15634      0.0374284
            165        1.16347        1.15638      0.0372016
            166        1.16803        1.15645      0.0369775
            167        1.17252        1.15655      0.0367562
            168        1.17694        1.15667      0.0365377
            169        1.18131        1.15681      0.0363217
            170        1.18563        1.15698      0.0361085
            171        1.18991        1.15718      0.0358978
            172        1.19416        1.15739      0.0356898
            173        1.19839        1.15763      0.0354843
            174         1.2026        1.15789      0.0352813
            175        1.20679        1.15817      0.0350808
            176        1.21098        1.15847      0.0348827
            177        1.21516        1.15879      0.0346871
            178        1.21934        1.15913      0.0344939
            179        1.22351        1.15949      0.0343031
            180        1.22766        1.15987      0.0341146
            181        1.23181        1.16026      0.0339284
            182        1.23594        1.16068      0.0337446
            183        1.24005        1.16111       0.033563
            184        1.24412        1.16156      0.0333836
            185        1.24814        1.16203      0.0332064
            186        1.25211        1.16252      0.0330314
            187        1.25601        1.16302      0.0328586
            188        1.25982        1.16353      0.0326878
            189        1.26353        1.16406      0.0325191
            190        1.26713         1.1646      0.0323525
            191         1.2706        1.16516      0.0321879
            192        1.27393        1.16572      0.0320252
            193        1.27709         1.1663      0.0318645
            194        1.28007        1.16689      0.0317056
            195        1.28286        1.16748      0.0315486
            196        1.28543        1.16808      0.0313934
            197        1.28777        1.16869      0.0312399
            198        1.28987         1.1693      0.0310881
            199        1.29171        1.16992       0.030938
            200         1.2933        1.17054      0.0307895
            201         1.2946        1.17115      0.0306425
            202        1.29563        1.17177       0.030497
            203        1.29636        1.17238      0.0303529
            204        1.29678        1.17299      0.0302102
            205         1.2969         1.1736      0.0300689
            206        1.29672        1.17419      0.0299289
            207        1.29622        1.17478      0.0297901
            208        1.29542        1.17536      0.0296525
            209        1.29432        1.17593      0.0295161
            210        1.29291        1.17649      0.0293808
            211        1.29122        1.17703      0.0292466
            212        1.28924        1.17756      0.0291135
            213        1.28698        1.17808      0.0289813
            214        1.28445        1.17857      0.0288501
            215        1.28166        1.17905      0.0287199
            216        1.27863        1.17951      0.0285907
            217        1.27537        1.17996      0.0284623
            218         1.2719        1.18038      0.0283349
            219        1.26821        1.18078      0.0282083
            220        1.26432        1.18116      0.0280827
            221        1.26025        1.18152      0.0279579
            222        1.25601        1.18185       0.027834
            223        1.25161        1.18216      0.0277109
            224        1.24708        1.18245      0.0275887
            225        1.24241        1.18272      0.0274674
            226        1.23763        1.18296      0.0273469
            227        1.23276        1.18318      0.0272273
            228         1.2278        1.18338      0.0271086
            229        1.22278        1.18355      0.0269908
            230        1.21771         1.1837      0.0268738
            231        1.21261        1.18382      0.0267578
