#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1       -8.71246       -8.71246              0
              2       -8.70974        -8.7111    0.000960274
              3       -8.70522       -8.70914     0.00172373
              4        -8.6989       -8.70658     0.00256723
              5       -8.69078       -8.70342     0.00349428
              6       -8.68087       -8.69966     0.00450028
              7       -8.66917        -8.6953     0.00557995
              8       -8.65571       -8.69036     0.00672837
              9       -8.61538       -8.68202     0.00987172
             10       -8.59861       -8.67368      0.0118976
             11        -8.5801       -8.66518      0.0135196
             12       -8.55987        -8.6564      0.0149723
             13       -8.53794       -8.64729      0.0163602
             14       -8.51433       -8.63779      0.0177352
             15       -8.48906       -8.62788      0.0191247
             16       -8.46217       -8.61752      0.0205431
             17       -8.38651       -8.60393      0.0234015
             18       -8.35665       -8.59019      0.0258208
             19       -8.32528       -8.57625      0.0279741
             20       -8.29244       -8.56206      0.0299592
             21       -8.25818       -8.54759       0.031836
             22       -8.22256       -8.53282      0.0336429
             23       -8.18564       -8.51772      0.0354049
             24       -8.14749       -8.50229      0.0371387
             25       -8.10819       -8.48653      0.0388551
             26       -8.06782       -8.47043      0.0405609
             27       -8.02648       -8.45398      0.0422601
             28       -7.98426       -8.43721      0.0439547
             29       -7.94126       -8.42011      0.0456448
             30        -7.8976       -8.40269      0.0473297
             31       -7.85339       -8.38497      0.0490077
             32       -7.80877       -8.36696      0.0506763
             33       -7.76385       -8.34869      0.0523325
             34       -7.71879       -8.33016      0.0539731
             35       -7.67372       -8.31141      0.0555943
             36       -7.62878       -8.29244      0.0571924
             37       -7.58413        -8.2733      0.0587633
             38       -7.53992         -8.254      0.0603029
             39       -7.49631       -8.23457      0.0618071
             40       -7.45345       -8.21504      0.0632717
             41       -7.41149       -8.19545      0.0646928
             42        -7.3706       -8.17581      0.0660663
             43       -7.33091       -8.15616      0.0673884
             44       -7.29258       -8.13653      0.0686554
             45       -7.25575       -8.11696      0.0698641
             46       -7.22054       -8.09747      0.0710112
             47       -7.18708        -8.0781      0.0720938
             48       -7.15548       -8.05888      0.0731093
             49       -7.12584       -8.03984      0.0740555
             50       -7.09794         -8.021       0.074932
             51       -7.07153       -8.00238      0.0757402
             52       -7.04828       -7.98403      0.0764738
             53       -7.02694       -7.96598      0.0771336
             54       -7.00756       -7.94823      0.0777203
             55       -6.99015       -7.93081       0.078235
             56       -6.97568       -7.91375      0.0786751
             57       -6.96381       -7.89709      0.0790403
             58       -6.95354       -7.88082       0.079334
             59       -6.94548       -7.86497      0.0795576
             60       -6.93988       -7.84955      0.0797116
             61       -6.93668       -7.83458      0.0797973
             62       -6.93449       -7.82006      0.0798199
             63       -6.93388         -7.806      0.0797827
             64       -6.93538       -7.79239      0.0796874
             65        -6.9392       -7.77927      0.0795352
             66       -6.94426       -7.76662        0.07933
             67       -6.94976       -7.75443      0.0790772
             68       -6.95819       -7.74272      0.0787765
             69        -6.9668       -7.73147      0.0784333
             70       -6.97708       -7.72069      0.0780497
             71       -6.98824       -7.71038      0.0776292
             72       -6.99984       -7.70051      0.0771757
             73       -7.01334        -7.6911      0.0766905
             74       -7.02669       -7.68212      0.0761779
             75       -7.04007       -7.67356      0.0756416
             76       -7.05467       -7.66541      0.0750834
             77       -7.06874       -7.65766      0.0745071
             78       -7.08218       -7.65029      0.0739163
             79       -7.09618       -7.64327      0.0733126
             80       -7.11032       -7.63661      0.0726983
             81       -7.12354       -7.63028      0.0720762
             82       -7.13674       -7.62426      0.0714481
             83       -7.14984       -7.61854      0.0708155
             84       -7.16213       -7.61311      0.0701806
