#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
              1        1.51299        1.51299              0
              2        1.52883        1.52091      0.0055984
              3        1.55519        1.53233      0.0100483
              4        1.59204        1.54726       0.014963
              5        1.63934        1.56568      0.0203621
              6        1.69704        1.58757      0.0262178
              7        1.76507        1.61293      0.0324982
              8        1.84336        1.64173      0.0391736
              9        1.98656        1.68005      0.0501734
             10        2.08466        1.72051      0.0592664
             11        2.19274        1.76344      0.0676636
             12        2.31067        1.80904       0.075851
             13         2.4383        1.85744       0.084054
             14        2.57548        1.90873      0.0923819
             15        2.72202        1.96295       0.100887
             16        2.87773        2.02013       0.109591
             17        3.14525        2.08631       0.121496
             18        3.31818        2.15475       0.132628
             19        3.49955        2.22553       0.143295
             20        3.68903         2.2987       0.153682
             21        3.88632         2.3743       0.163908
             22        4.09104        2.45234       0.174044
             23        4.30279        2.53279       0.184136
             24        4.52116        2.61564        0.19421
             25        4.74568        2.70084       0.204278
             26        4.97585        2.78834       0.214343
             27        5.21114        2.87807       0.224403
             28        5.45098        2.96996       0.234448
             29        5.69477        3.06392       0.244468
             30        5.94187        3.15985       0.254446
             31         6.1916        3.25765       0.264365
             32        6.44326         3.3572       0.274208
             33        6.69613        3.45838       0.283952
             34        6.94942        3.56106       0.293579
             35        7.20238         3.6651       0.303065
             36        7.45417        3.77035       0.312389
             37          7.704        3.87666       0.321528
             38        7.95101        3.98388       0.330461
             39        8.19439        4.09185       0.339165
             40        8.43329        4.20038       0.347619
             41        8.66687        4.30932       0.355801
             42        8.89434        4.41849       0.363691
             43        9.11488        4.52771       0.371271
             44        9.32773         4.6368       0.378521
             45        9.53216        4.74558       0.385425
             46        9.72747        4.85389       0.391967
             47        9.91301        4.96153       0.398133
             48        10.0882        5.06833       0.403911
             49        10.2525        5.17413        0.40929
             50        10.4062        5.27877       0.414265
             51        10.5495        5.38212       0.418835
             52        10.6787        5.48398       0.422984
             53        10.7962        5.58421       0.426713
             54         10.902        5.68269       0.430025
             55         10.996        5.77929       0.432921
             56         11.076        5.87387         0.4354
             57        11.1428        5.96631       0.437464
             58        11.1988        6.05653       0.439125
             59        11.2427        6.14443       0.440392
             60        11.2742        6.22992       0.441273
             61        11.2936        6.31293       0.441778
             62        11.3043        6.39344       0.441927
             63        11.3053        6.47141       0.441737
             64        11.2958        6.54679       0.441219
             65        11.2757        6.61954       0.440388
             66        11.2477        6.68966       0.439263
             67        11.2139        6.75719       0.437867
             68        11.1694        6.82207       0.436208
             69        11.1205        6.88437       0.434312
             70        11.0645        6.94409       0.432193
             71        11.0035        7.00126       0.429871
             72        10.9389        7.05595       0.427366
             73        10.8679        7.10817        0.42469
             74        10.7955          7.158       0.421864
             75        10.7215        7.20551       0.418906
             76        10.6439        7.25075        0.41583
             77        10.5668        7.29382       0.412654
             78        10.4908        7.33481       0.409394
             79        10.4137        7.37378       0.406062
             80        10.3366        7.41081       0.402672
             81        10.2621        7.44602       0.399236
             82        10.1886        7.47946       0.395766
             83        10.1165        7.51123       0.392271
             84        10.0475        7.54143       0.388761
             85        9.98125        7.57013       0.385246
             86          9.918        7.59743       0.381732
             87        9.85727        7.62341       0.378227
             88        9.80137        7.64816       0.374738
             89        9.74832        7.67175        0.37127
             90        9.69966        7.69429       0.367828
             91        9.65476        7.71583       0.364416
             92        9.61366        7.73646       0.361038
             93        9.57424        7.75622       0.357697
             94        9.54001         7.7752       0.354394
             95        9.50952        7.79345       0.351134
             96        9.48269        7.81105       0.347917
             97        9.46224        7.82807       0.344746
             98        9.44238        7.84454       0.341622
             99        9.42722        7.86053       0.338545
            100        9.41306        7.87606       0.335515
            101        9.40043        7.89115       0.332533
            102        9.39195        7.90586       0.329598
            103        9.38527        7.92022       0.326711
            104        9.38302        7.93429       0.323872
            105         9.3814        7.94807        0.32108
            106        9.38019        7.96158       0.318335
            107        9.38265        7.97486       0.315637
            108        9.38501        7.98792       0.312985
            109        9.38912        8.00078       0.310377
            110        9.39332        8.01344       0.307814
            111        9.40087        8.02593       0.305294
            112        9.40658        8.03826       0.302817
            113         9.4116        8.05042       0.300381
            114         9.4178        8.06241       0.297986
            115        9.42144        8.07423       0.295629
            116        9.42579        8.08588        0.29331
            117        9.42995        8.09737       0.291028
            118        9.43302        8.10869       0.288781
            119        9.43551        8.11984        0.28657
            120        9.43515         8.1308       0.284391
            121         9.4339        8.14157       0.282245
            122        9.43162        8.15214       0.280129
            123        9.42822        8.16251       0.278044
            124        9.42149        8.17267       0.275987
            125        9.41207        8.18258       0.273957
            126        9.40205        8.19226       0.271954
            127        9.38857        8.20168       0.269975
            128        9.37304        8.21083       0.268021
            129        9.35478         8.2197        0.26609
            130        9.33311        8.22826       0.264181
            131        9.31303        8.23655       0.262294
            132        9.29109        8.24453       0.260429
            133        9.26878        8.25224       0.258584
            134        9.24269        8.25963        0.25676
            135        9.21503         8.2667       0.254956
            136        9.18383        8.27345        0.25317
            137        9.15414        8.27988       0.251404
            138        9.12329        8.28599       0.249657
            139        9.08929        8.29177       0.247927
            140         9.0558        8.29722       0.246217
            141        9.02087        8.30236       0.244524
            142        8.98604        8.30717       0.242849
            143        8.94933        8.31166       0.241192
            144        8.91511        8.31585       0.239554
            145        8.87926        8.31974       0.237933
            146        8.84402        8.32333       0.236331
            147        8.80596        8.32661       0.234746
            148        8.77012        8.32961       0.233179
            149        8.73237        8.33231        0.23163
            150        8.69702        8.33474       0.230098
            151        8.66273        8.33692       0.228585
            152        8.62746        8.33883       0.227089
            153        8.59336        8.34049       0.225611
            154         8.5605        8.34192        0.22415
            155        8.52817        8.34312       0.222707
            156         8.4964         8.3441       0.221282
            157        8.46378        8.34487       0.219874
            158        8.42962         8.3454       0.218483
            159        8.39815        8.34573       0.217109
            160        8.36794        8.34587       0.215752
            161        8.33899        8.34583       0.214412
            162        8.30913         8.3456       0.213088
            163        8.28117        8.34521       0.211781
            164        8.25294        8.34465       0.210491
            165        8.22584        8.34393       0.209216
            166        8.19981        8.34306       0.207958
            167        8.17199        8.34203       0.206715
            168        8.14659        8.34087       0.205488
            169        8.12002        8.33956       0.204276
            170        8.09508        8.33812        0.20308
            171         8.0675        8.33654       0.201898
            172        8.04291        8.33483       0.200732
            173        8.01844        8.33301        0.19958
            174        7.99267        8.33105       0.198442
            175        7.96629        8.32897       0.197319
            176        7.94142        8.32676        0.19621
            177        7.91665        8.32445       0.195116
            178        7.88917          8.322       0.194035
            179        7.86322        8.31944       0.192968
            180        7.83742        8.31676       0.191914
            181        7.81533        8.31399       0.190874
            182        7.79207        8.31112       0.189847
            183        7.76486        8.30814       0.188833
            184        7.74152        8.30506       0.187832
            185        7.71858        8.30189       0.186843
            186        7.69542        8.29863       0.185867
            187        7.67495        8.29529       0.184903
            188        7.65369        8.29188       0.183951
            189        7.63315        8.28839       0.183011
            190         7.6134        8.28484       0.182082
            191        7.59456        8.28123       0.181164
            192        7.57599        8.27755       0.180258
            193        7.56062        8.27384       0.179362
            194        7.54712        8.27009       0.178477
            195        7.53134         8.2663       0.177602
            196        7.51758        8.26248       0.176737
            197        7.50594        8.25864       0.175881
            198        7.49223        8.25477       0.175036
            199        7.48288        8.25089       0.174199
            200         7.4737        8.24701       0.173371
            201        7.46686        8.24313       0.172552
            202         7.4617        8.23926       0.171741
            203        7.46036        8.23542       0.170938
            204        7.46006        8.23162       0.170143
            205        7.46292        8.22787       0.169354
            206        7.46611        8.22417       0.168572
            207        7.46823        8.22052       0.167797
            208        7.47419        8.21693       0.167029
            209        7.48186        8.21342       0.166267
            210        7.48979        8.20997       0.165511
            211        7.50006        8.20661       0.164761
            212        7.51335        8.20334       0.164016
            213        7.52748        8.20016       0.163277
            214        7.54237        8.19709       0.162543
            215        7.55798        8.19412       0.161814
            216        7.57917        8.19127        0.16109
            217        7.59881        8.18854        0.16037
            218        7.61897        8.18593       0.159656
            219        7.63956        8.18343       0.158946
            220        7.66334        8.18107       0.158242
            221        7.68599        8.17883       0.157541
            222        7.70882        8.17671       0.156846
            223        7.73388        8.17472       0.156155
            224        7.76251        8.17288       0.155469
            225        7.78897        8.17118       0.154787
            226        7.81527         8.1696        0.15411
            227        7.84346        8.16817       0.153438
            228        7.87625        8.16689       0.152771
            229        7.90366        8.16574       0.152108
            230        7.93124        8.16472        0.15145
            231        7.95959        8.16383       0.150797
            232        7.98999        8.16308       0.150149
            233         8.0181        8.16246       0.149506
            234        8.04802        8.16197       0.148867
            235        8.07541         8.1616       0.148234
            236        8.10364        8.16135       0.147607
            237        8.12905        8.16122       0.146984
            238        8.15574         8.1612       0.146366
            239        8.17863        8.16127       0.145754
            240         8.2032        8.16144       0.145147
            241        8.22792        8.16172       0.144545
            242        8.24841        8.16208       0.143948
            243        8.26877        8.16252       0.143356
            244        8.28534        8.16302       0.142769
            245        8.30224        8.16359       0.142188
            246        8.31514         8.1642       0.141611
            247        8.32747        8.16486       0.141039
            248        8.33846        8.16556       0.140472
            249        8.34662        8.16629        0.13991
            250        8.35193        8.16703       0.139352
            251        8.35717        8.16779       0.138799
            252        8.35952        8.16855       0.138251
            253        8.35829         8.1693       0.137706
            254        8.35493        8.17003       0.137166
            255        8.34949        8.17074        0.13663
            256        8.34277        8.17141       0.136098
            257        8.33415        8.17204        0.13557
            258        8.32234        8.17263       0.135046
            259        8.31029        8.17316       0.134525
            260        8.29602        8.17363       0.134009
            261         8.2811        8.17404       0.133496
            262         8.2657        8.17439       0.132987
            263        8.24787        8.17467       0.132481
            264        8.22778        8.17487        0.13198
            265        8.20491        8.17498       0.131482
            266         8.1858        8.17503       0.130987
            267        8.16569        8.17499       0.130497
            268        8.14687        8.17489        0.13001
            269        8.12741        8.17471       0.129527
            270        8.10817        8.17446       0.129047
            271        8.08647        8.17414       0.128572
            272         8.0688        8.17375       0.128099
            273        8.04964         8.1733       0.127631
            274        8.03543        8.17279       0.127166
            275        8.01852        8.17223       0.126705
            276        8.00391        8.17162       0.126247
            277        7.99238        8.17097       0.125793
            278        7.98044        8.17029       0.125343
            279        7.96739        8.16956       0.124895
            280        7.95609         8.1688       0.124452
            281         7.9458        8.16801       0.124011
            282         7.9372        8.16719       0.123574
            283        7.92888        8.16635       0.123141
            284        7.92007        8.16548        0.12271
            285        7.91214        8.16459       0.122283
            286        7.90715        8.16369       0.121858
            287         7.9015        8.16278       0.121437
            288        7.89795        8.16186       0.121019
            289        7.89431        8.16093       0.120604
            290        7.89193           8.16       0.120192
            291        7.89074        8.15908       0.119782
            292        7.88857        8.15815       0.119375
            293        7.88746        8.15723       0.118972
            294        7.88666        8.15631       0.118571
            295         7.8847        8.15539       0.118172
            296        7.88295        8.15447       0.117777
            297        7.88136        8.15355       0.117384
            298        7.88063        8.15263       0.116993
            299        7.88072        8.15172       0.116605
            300         7.8802        8.15082        0.11622
            301        7.87834        8.14991       0.115838
            302        7.88006        8.14902       0.115458
            303        7.88044        8.14813        0.11508
            304        7.88159        8.14725       0.114705
            305        7.88069        8.14638       0.114332
            306        7.88128        8.14551       0.113962
            307        7.88125        8.14465       0.113594
            308        7.88063         8.1438       0.113228
            309        7.88082        8.14294       0.112865
            310        7.88044         8.1421       0.112504
            311        7.87951        8.14125       0.112145
            312        7.87944        8.14041       0.111789
            313        7.87955        8.13958       0.111435
            314        7.88125        8.13876       0.111083
            315        7.88314        8.13795       0.110733
            316        7.88241        8.13714       0.110386
            317         7.8833        8.13634       0.110041
            318        7.88371        8.13554       0.109698
            319        7.88575        8.13476       0.109356
            320        7.89152          8.134       0.109017
            321        7.89678        8.13326        0.10868
            322        7.89941        8.13253       0.108345
            323        7.90077        8.13182       0.108012
            324        7.90721        8.13112       0.107681
            325        7.91089        8.13045       0.107352
            326        7.91392        8.12978       0.107024
            327        7.91482        8.12912       0.106699
