#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1       -6.38746       -6.38746              0
              2       -6.38565       -6.38655    0.000640016
              3       -6.38384       -6.38565    0.000852475
              4       -6.38204       -6.38475     0.00100972
              5       -6.38024       -6.38385     0.00114084
              6       -6.37845       -6.38295     0.00125577
              7       -6.37667       -6.38205     0.00135923
              8        -6.3749       -6.38116     0.00145388
              9       -6.34803       -6.37748     0.00370256
             10       -6.34639       -6.37437     0.00445011
             11       -6.34465       -6.37167     0.00479609
             12       -6.34293       -6.36927     0.00495846
             13       -6.34122       -6.36711     0.00502455
             14       -6.33954       -6.36514     0.00503683
             15       -6.33789       -6.36333     0.00501813
             16       -6.33626       -6.36163     0.00498149
             17       -6.28749       -6.35727     0.00631561
             18       -6.28602       -6.35331     0.00709765
             19        -6.2845       -6.34969     0.00759208
             20       -6.28303       -6.34636     0.00791041
             21       -6.28161       -6.34328     0.00811245
             22       -6.28024       -6.34041     0.00823412
             23       -6.27894       -6.33774     0.00829851
             24       -6.27771       -6.33524     0.00832112
             25       -6.27656       -6.33289     0.00831275
             26       -6.27548       -6.33068     0.00828106
             27        -6.2745        -6.3286     0.00823161
             28       -6.27362       -6.32664     0.00816849
             29       -6.27284       -6.32478     0.00809475
             30       -6.27217       -6.32303     0.00801267
             31       -6.27162       -6.32137     0.00792397
             32       -6.27119        -6.3198     0.00782998
             33       -6.27089       -6.31832     0.00773171
             34       -6.27073       -6.31692     0.00762993
             35       -6.27072        -6.3156     0.00752527
             36       -6.27084       -6.31436     0.00741822
             37       -6.27112       -6.31319     0.00730917
             38       -6.27156       -6.31209     0.00719847
             39       -6.27214       -6.31107     0.00708641
             40       -6.27288       -6.31011     0.00697325
             41       -6.27378       -6.30923     0.00685925
             42       -6.27483       -6.30841     0.00674464
             43       -6.27603       -6.30766     0.00662969
             44       -6.27738       -6.30697     0.00651463
             45       -6.27886       -6.30634     0.00639973
             46       -6.28048       -6.30578     0.00628525
             47       -6.28222       -6.30528     0.00617148
             48       -6.28408       -6.30484     0.00605869
             49       -6.28604       -6.30445     0.00594718
             50       -6.28776       -6.30412      0.0058376
             51       -6.28892       -6.30382     0.00573074
             52       -6.29111       -6.30358     0.00562574
             53       -6.29303       -6.30338     0.00552312
             54       -6.29465       -6.30322      0.0054232
             55       -6.29597       -6.30309      0.0053262
             56       -6.29794       -6.30299     0.00523188
             57       -6.30022       -6.30295     0.00514032
             58       -6.30182       -6.30293     0.00505173
             59       -6.30338       -6.30293     0.00496611
             60       -6.30521       -6.30297     0.00488349
             61       -6.30728       -6.30304     0.00480394
             62       -6.30831       -6.30313     0.00472721
             63       -6.30891       -6.30322     0.00465306
             64       -6.30973       -6.30332     0.00458147
             65       -6.31109       -6.30344     0.00451255
             66       -6.31201       -6.30357     0.00444604
             67       -6.31183       -6.30369     0.00438139
             68       -6.31313       -6.30383     0.00431916
             69       -6.31332       -6.30397     0.00425875
             70       -6.31403       -6.30411     0.00420034
             71        -6.3146       -6.30426     0.00414378
             72       -6.31471       -6.30441     0.00408876
             73       -6.31599       -6.30457     0.00403583
             74       -6.31648       -6.30473     0.00398451
             75       -6.31653       -6.30488     0.00393449
             76       -6.31743       -6.30505     0.00388618
             77       -6.31756       -6.30521      0.0038391
             78       -6.31693       -6.30536     0.00379282
             79       -6.31685       -6.30551      0.0037476
             80       -6.31699       -6.30565      0.0037035
             81       -6.31641       -6.30578     0.00366016
             82       -6.31606       -6.30591     0.00361767
             83       -6.31597       -6.30603     0.00357611
             84       -6.31549       -6.30614     0.00353531
             85       -6.31495       -6.30625     0.00349524
             86       -6.31437       -6.30634     0.00345588
             87       -6.31408       -6.30643      0.0034173
             88        -6.3131       -6.30651     0.00337931
             89       -6.31243       -6.30657     0.00334199
             90       -6.31141       -6.30663     0.00330529
             91       -6.31038       -6.30667     0.00326923
             92       -6.30934        -6.3067     0.00323382
             93       -6.30928       -6.30672     0.00319917
             94       -6.30858       -6.30674     0.00316519
             95       -6.30789       -6.30676      0.0031319
             96       -6.30721       -6.30676     0.00309928
             97       -6.30526       -6.30674     0.00306737
             98       -6.30464       -6.30672     0.00303614
             99       -6.30339       -6.30669     0.00300566
            100       -6.30314       -6.30665     0.00297581
            101       -6.30358       -6.30662     0.00294651
            102       -6.30341       -6.30659     0.00291779
            103       -6.30361       -6.30656      0.0028896
            104       -6.30288       -6.30653     0.00286203
            105       -6.30285       -6.30649     0.00283499
            106        -6.3035       -6.30646     0.00280839
            107       -6.30323       -6.30643      0.0027823
            108       -6.30366       -6.30641     0.00275666
            109       -6.30382       -6.30638     0.00273147
            110       -6.30434       -6.30637      0.0027067
