#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        1.20592        1.20592              0
              2        1.20638        1.20615    0.000164655
              3        1.20691         1.2064    0.000234007
              4        1.21181        1.20775       0.001184
              5        1.20204        1.20661     0.00139305
              6        1.20563        1.20645      0.0011704
              7        1.20928        1.20685     0.00107069
              8        1.20723         1.2069    0.000937902
              9        1.20708        1.20692    0.000833906
             10        1.20677        1.20691    0.000750656
             11        1.20132         1.2064    0.000836909
             12        1.20774        1.20651    0.000774579
             13        1.21232        1.20696    0.000834162
             14        1.20449        1.20678    0.000792986
             15        1.20365        1.20657     0.00076713
             16        1.20763        1.20664    0.000722049
             17        1.20405        1.20648    0.000695464
             18         1.2085         1.2066    0.000665817
             19         1.2035        1.20643    0.000650397
             20        1.20775         1.2065    0.000621174
             21         1.2083        1.20659    0.000597472
             22        1.20848        1.20667    0.000576467
             23        1.21113        1.20687    0.000583088
             24        1.20491        1.20678    0.000564472
             25        1.20724         1.2068    0.000542185
             26        1.20556        1.20675     0.00052342
             27        1.20239        1.20659    0.000528377
             28        1.20736        1.20662    0.000510216
             29        1.20693        1.20663    0.000492733
             30        1.21542        1.20692    0.000556687
             31        1.20394        1.20683    0.000546991
             32        1.20527        1.20678    0.000532054
             33        1.20436        1.20671    0.000520937
             34        1.20765        1.20673    0.000506348
             35        1.20206         1.2066    0.000509202
             36         1.2089        1.20666    0.000499054
             37        1.20455        1.20661    0.000488828
             38        1.20792        1.20664    0.000477187
             39        1.20955        1.20672    0.000470764
             40         1.2095        1.20679    0.000464124
             41        1.20402        1.20672    0.000457686
             42        1.21191        1.20684      0.0004632
             43        1.20511         1.2068    0.000454166
             44        1.20748        1.20682    0.000444105
             45        1.20742        1.20683    0.000434442
             46        1.20791        1.20685    0.000425628
             47        1.20826        1.20688    0.000417627
             48        1.20977        1.20694    0.000413221
             49        1.20841        1.20697     0.00040587
             50        1.20634        1.20696     0.00039795
             51        1.20718        1.20697     0.00039017
             52        1.20929        1.20701    0.000385216
             53        1.20834        1.20703    0.000378758
             54        1.21094        1.20711    0.000378583
             55        1.20497        1.20707    0.000373698
             56        1.20922        1.20711    0.000368986
             57        1.20682         1.2071    0.000362546
             58        1.20592        1.20708     0.00035687
             59        1.21069        1.20714    0.000356039
             60        1.20731        1.20715    0.000350115
             61        1.20919        1.20718    0.000345974
             62        1.20625        1.20716    0.000340715
             63        1.20859        1.20719    0.000336063
             64        1.20715        1.20719    0.000330812
             65        1.20416        1.20714    0.000328973
             66        1.20952        1.20718     0.00032596
             67        1.20783        1.20719    0.000321243
             68        1.20598        1.20717    0.000317004
             69        1.20615        1.20715    0.000312755
             70        1.20584        1.20713    0.000308846
             71         1.2082        1.20715    0.000304861
             72        1.20844        1.20717    0.000301155
             73        1.20833        1.20718    0.000297453
             74        1.20488        1.20715    0.000295054
             75        1.21015        1.20719    0.000293818
             76        1.21001        1.20723    0.000292286
             77        1.20276        1.20717    0.000294189
             78        1.20434        1.20713    0.000292645
             79        1.20025        1.20705    0.000301653
             80        1.20788        1.20706    0.000298063
             81        1.20495        1.20703    0.000295513
             82        1.20476          1.207    0.000293207
             83        1.21257        1.20707    0.000297234
             84        1.20818        1.20708    0.000293989
             85        1.20703        1.20708    0.000290531
             86        1.20609        1.20707     0.00028738
             87        1.20694        1.20707    0.000284081
             88        1.20782        1.20708    0.000280979
             89        1.20725        1.20708    0.000277828
             90        1.20678        1.20708    0.000274761
             91        1.20628        1.20707     0.00027188
             92        1.20682        1.20707    0.000268938
             93        1.20437        1.20704     0.00026761
             94        1.20612        1.20703    0.000264943
             95        1.20551        1.20701    0.000262635
             96        1.21125        1.20706    0.000263583
             97        1.20249        1.20701    0.000265031
             98        1.20944        1.20703    0.000263487
             99        1.21167        1.20708    0.000264959
            100         1.2042        1.20705    0.000263871
