#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
              1         7.4514         7.4514              0
              2        7.44661        7.44901     0.00169481
              3        7.46099          7.453     0.00345217
              4        7.43005        7.44727     0.00560298
              5        7.48069        7.45395     0.00747236
              6        7.47761        7.45789     0.00719269
              7        7.43449        7.45455     0.00689835
              8        7.45488        7.45459     0.00603618
              9        7.45372        7.45449     0.00536627
             10        7.44848        7.45389     0.00486318
             11        7.46923        7.45529     0.00461655
             12        7.45453        7.45522     0.00423227
             13         7.4154        7.45216      0.0048914
             14        7.45941        7.45268     0.00456937
             15        7.47381        7.45409      0.0044767
             16        7.44253        7.45336     0.00425482
             17        7.45585        7.45351     0.00400706
             18        7.43448        7.45245     0.00392147
             19         7.4758        7.45368     0.00390289
             20        7.45659        7.45383     0.00371045
             21         7.4601        7.45413     0.00354576
             22        7.44719        7.45381     0.00339856
             23        7.43216        7.45287      0.0033787
             24         7.4769        7.45387     0.00338303
             25        7.46782        7.45443     0.00329343
             26        7.47859        7.45536     0.00329525
             27         7.4829        7.45638     0.00332735
             28        7.46493        7.45668     0.00322249
             29        7.46797        7.45707     0.00313478
             30        7.41356        7.45562     0.00334911
             31         7.4735         7.4562     0.00329036
             32        7.45785        7.45625     0.00318794
             33        7.46225        7.45643     0.00309651
             34        7.44898        7.45621     0.00301318
             35        7.49066         7.4572     0.00308365
             36        7.43537        7.45659     0.00305702
             37        7.46969        7.45695     0.00299482
             38        7.45455        7.45688     0.00291668
             39        7.45669        7.45688      0.0028419
             40        7.44513        7.45658     0.00278598
             41        7.48059        7.45717     0.00277886
             42        7.42913         7.4565     0.00279173
             43        7.49915        7.45749     0.00289766
             44        7.46645         7.4577     0.00283895
             45        7.44576        7.45743     0.00278822
             46        7.46269        7.45755     0.00272994
             47         7.4564        7.45752     0.00267197
             48        7.43251          7.457     0.00266663
             49        7.44404        7.45674     0.00262528
             50        7.46275        7.45686     0.00257554
             51        7.48164        7.45734     0.00257045
             52        7.45509         7.4573     0.00252139
             53        7.44649         7.4571     0.00248204
             54        7.45474        7.45705     0.00243646
             55        7.49548        7.45775     0.00249032
             56        7.43967        7.45743     0.00246668
             57        7.44306        7.45718     0.00243625
             58        7.46375        7.45729     0.00239688
             59        7.44117        7.45702     0.00237177
             60        7.46582        7.45716     0.00233677
             61        7.45875        7.45719     0.00229861
             62        7.46566        7.45733      0.0022656
             63        7.45133        7.45723     0.00223163
             64        7.45446        7.45719     0.00219718
             65        7.49609        7.45779     0.00224341
             66          7.453        7.45771     0.00221059
             67        7.47272        7.45794     0.00218892
             68        7.45412        7.45788     0.00215745
             69         7.4656        7.45799     0.00212908
             70        7.46565         7.4581     0.00210147
             71        7.46171        7.45815     0.00207249
             72        7.44053        7.45791     0.00205811
             73        7.45311        7.45784     0.00203097
             74        7.47862        7.45812     0.00202284
             75        7.44882          7.458     0.00199967
             76        7.44202        7.45779     0.00198438
             77        7.47655        7.45803     0.00197351
             78        7.45115        7.45794     0.00195018
             79        7.49914        7.45847       0.001994
             80        7.45157        7.45838     0.00197094
             81        7.46835         7.4585     0.00195045
             82        7.47525        7.45871     0.00193732
             83        7.43932        7.45847     0.00192801
             84        7.44139        7.45827     0.00191576
             85        7.45161        7.45819     0.00189482
             86        7.46113        7.45823     0.00187309
             87        7.46497         7.4583     0.00185317
             88        7.43714        7.45806     0.00184765
             89        7.45284          7.458     0.00182782
             90        7.45599        7.45798     0.00180765
             91        7.45082         7.4579     0.00178949
             92        7.45737         7.4579     0.00177005
             93        7.48323        7.45817     0.00177186
             94        7.45334        7.45812     0.00175376
             95        7.45922        7.45813     0.00173533
             96        7.44926        7.45804     0.00171972
             97        7.48517        7.45832     0.00172458
             98        7.46001        7.45833     0.00170707
             99        7.44505         7.4582     0.00169509
            100        7.46085        7.45823     0.00167835
