#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1       0.803944       0.803944              0
              2       0.804255       0.804099     0.00010977
              3       0.804606       0.804268    0.000156005
              4       0.807874       0.805169    0.000789331
              5       0.801363       0.804408    0.000928701
              6       0.803755       0.804299    0.000780263
              7       0.806185       0.804569    0.000713797
              8       0.804821         0.8046    0.000625268
              9       0.804721       0.804614    0.000555937
             10       0.804512       0.804603    0.000500437
             11       0.800877       0.804265     0.00055794
             12       0.805158       0.804339    0.000516386
             13       0.808215       0.804637    0.000556108
             14       0.802992        0.80452    0.000528657
             15       0.802431        0.80438     0.00051142
             16       0.805088       0.804425    0.000481366
             17       0.802698       0.804323    0.000463642
             18        0.80567       0.804398    0.000443878
             19       0.802335       0.804289    0.000433598
             20       0.805164       0.804333    0.000414116
             21       0.805532        0.80439    0.000398315
             22       0.805651       0.804447    0.000384311
             23        0.80742       0.804577    0.000388725
             24       0.803271       0.804522    0.000376315
             25       0.804825       0.804534    0.000361457
             26       0.803709       0.804503    0.000348947
             27       0.801595       0.804395    0.000352251
             28       0.804906       0.804413    0.000340144
             29       0.804619        0.80442    0.000328489
             30       0.810282       0.804616    0.000371124
             31       0.802626       0.804552    0.000364661
             32       0.803514       0.804519    0.000354703
             33        0.80291        0.80447    0.000347291
             34       0.805097       0.804489    0.000337565
             35       0.801371         0.8044    0.000339468
             36       0.805934       0.804442    0.000332703
             37       0.803033       0.804404    0.000325885
             38       0.805281       0.804427    0.000318125
             39        0.80637       0.804477    0.000313843
             40       0.806335       0.804524    0.000309416
             41       0.802678       0.804479    0.000305124
             42       0.807942       0.804561      0.0003088
             43        0.80341       0.804534    0.000302777
             44       0.804986       0.804545     0.00029607
             45        0.80495       0.804554    0.000289628
             46       0.805272       0.804569    0.000283752
             47       0.805508       0.804589    0.000278418
             48       0.806511       0.804629     0.00027548
             49       0.805607       0.804649     0.00027058
             50       0.804227       0.804641      0.0002653
             51       0.804786       0.804644    0.000260113
             52       0.806192       0.804673    0.000256811
             53       0.805557        0.80469    0.000252506
             54       0.807293       0.804738    0.000252389
             55        0.80331       0.804712    0.000249132
             56       0.806144       0.804738    0.000245991
             57        0.80455       0.804734    0.000241698
             58       0.803945       0.804721    0.000237913
             59        0.80713       0.804762    0.000237359
             60       0.804872       0.804764     0.00023341
             61       0.806126       0.804786     0.00023065
             62        0.80417       0.804776    0.000227143
             63        0.80573       0.804791    0.000224042
             64       0.804768       0.804791    0.000220542
             65       0.802776        0.80476    0.000219315
             66       0.806347       0.804784    0.000217307
             67       0.805222        0.80479    0.000214162
             68       0.803989       0.804779    0.000211336
             69       0.804098       0.804769    0.000208503
             70       0.803896       0.804756    0.000205897
             71       0.805467       0.804766    0.000203241
             72       0.805628       0.804778     0.00020077
             73       0.805556       0.804789    0.000198302
             74       0.803255       0.804768    0.000196703
             75       0.806768       0.804795    0.000195878
             76       0.806675        0.80482    0.000194858
             77       0.801842       0.804781    0.000196126
             78       0.802895       0.804757    0.000195096
             79       0.800164       0.804699    0.000201102
             80       0.805256       0.804705    0.000198709
             81       0.803303       0.804688    0.000197009
             82       0.803172        0.80467    0.000195472
             83       0.808378       0.804714    0.000198156
             84       0.805454       0.804723    0.000195992
             85       0.804684       0.804723    0.000193687
             86       0.804063       0.804715    0.000191587
             87       0.804625       0.804714    0.000189387
             88       0.805211        0.80472    0.000187319
             89       0.804831       0.804721    0.000185219
             90        0.80452       0.804719    0.000183174
             91        0.80419       0.804713    0.000181253
             92       0.804549       0.804711    0.000179292
             93        0.80291       0.804692    0.000178407
             94       0.804078       0.804685    0.000176628
             95       0.803673       0.804675     0.00017509
             96         0.8075       0.804704    0.000175722
             97       0.801662       0.804673    0.000176687
             98       0.806295       0.804689    0.000175658
             99       0.807782        0.80472    0.000176639
            100         0.8028       0.804701    0.000175914
